case,trial,method,baseline_mse,detail_correlation,endpoint_error
endpoint_outlier,19,hcrd_thresholded,0.6734990695113493,,1.4200558501285325
endpoint_outlier,19,hcrd_adaptive_guided,0.030054068623219816,,0.6631406060941725
endpoint_outlier,19,gaussian_oracle,0.2668829029146855,,1.48123904348755
irregular_grid_affine_plus_sine,19,hcrd_raw,0.0009743040750244086,0.999213601948196,
weak_oscillation_strong_curvature,20,hcrd_raw,8.516699155171713,0.0007716788514869231,
weak_oscillation_strong_curvature,20,hcrd_thresholded,8.516699155171713,0.0007716788514869231,
weak_oscillation_strong_curvature,20,hcrd_adaptive_guided,7.951018957705358,0.000964489108926322,
weak_oscillation_strong_curvature,20,gaussian_oracle,2.8717511381618517e-06,0.019145581496038205,
endpoint_outlier,20,hcrd_raw,0.24602047115806772,,2.378971015031645
endpoint_outlier,20,hcrd_thresholded,1.8901856024446857,,2.378971015031645
endpoint_outlier,20,hcrd_adaptive_guided,0.020665841906642512,,0.5677681980792064
endpoint_outlier,20,gaussian_oracle,0.09340430865593001,,0.8864661666277918
irregular_grid_affine_plus_sine,20,hcrd_raw,0.0004669986557685209,0.9995490833200794,
weak_oscillation_strong_curvature,21,hcrd_raw,8.516699155171713,0.000555668490434594,
weak_oscillation_strong_curvature,21,hcrd_thresholded,8.516699155171713,0.000555668490434594,
weak_oscillation_strong_curvature,21,hcrd_adaptive_guided,7.9508733857606195,0.0007522921055833569,
weak_oscillation_strong_curvature,21,gaussian_oracle,2.4844422640511683e-06,0.013780003232957352,
endpoint_outlier,21,hcrd_raw,0.044388636971813264,,1.0105072470699838
endpoint_outlier,21,hcrd_thresholded,0.34103976031473376,,1.0105072470699838
endpoint_outlier,21,hcrd_adaptive_guided,0.0019713079385886463,,0.2047301449889276
endpoint_outlier,21,gaussian_oracle,0.0633870176113269,,0.6557394855555967
irregular_grid_affine_plus_sine,21,hcrd_raw,0.0004574913707319264,0.9995658662634025,
weak_oscillation_strong_curvature,22,hcrd_raw,8.516699155171713,0.0008511329411590094,
weak_oscillation_strong_curvature,22,hcrd_thresholded,8.516699155171713,0.0008511329411590094,
weak_oscillation_strong_curvature,22,hcrd_adaptive_guided,7.951072690407919,0.001042905057737716,
weak_oscillation_strong_curvature,22,gaussian_oracle,3.046668198557706e-06,0.021146355929784744,
endpoint_outlier,22,hcrd_raw,0.32766440786619727,,2.7454792289543692
endpoint_outlier,22,hcrd_thresholded,2.5174593937929672,,2.7454792289543692
endpoint_outlier,22,hcrd_adaptive_guided,0.026858943746131035,,0.7124479384797753
endpoint_outlier,22,gaussian_oracle,0.0023841030523535675,,0.017509690212612672
irregular_grid_affine_plus_sine,22,hcrd_raw,0.000697853067418827,0.9993129925108897,
weak_oscillation_strong_curvature,23,hcrd_raw,8.516699155171713,0.0008183522076397907,
weak_oscillation_strong_curvature,23,hcrd_thresholded,8.516699155171713,0.0008183522076397907,
weak_oscillation_strong_curvature,23,hcrd_adaptive_guided,7.951049920510979,0.0010093181699101837,
weak_oscillation_strong_curvature,23,gaussian_oracle,2.9713566699391612e-06,0.020218121110456563,
endpoint_outlier,23,hcrd_raw,0.031770331340208485,,2.375652753206543
endpoint_outlier,23,hcrd_thresholded,1.8849163020563449,,2.375652753206543
endpoint_outlier,23,hcrd_adaptive_guided,0.030068628805292746,,0.8010619844742917
endpoint_outlier,23,gaussian_oracle,0.0065806436266295865,,0.25944662152349895
irregular_grid_affine_plus_sine,23,hcrd_raw,0.00043155949295464675,0.9995739126655562,
weak_oscillation_strong_curvature,24,hcrd_raw,8.516699155171713,0.0006855254814430384,
weak_oscillation_strong_curvature,24,hcrd_thresholded,8.516699155171713,0.0006855254814430384,
weak_oscillation_strong_curvature,24,hcrd_adaptive_guided,7.950960020049462,0.0008780415789256739,
weak_oscillation_strong_curvature,24,gaussian_oracle,2.702975832281007e-06,0.016842778156294185,
endpoint_outlier,24,hcrd_raw,0.045548030118279334,,2.8772345659673286
endpoint_outlier,24,hcrd_thresholded,2.764882550467034,,2.8772345659673286
endpoint_outlier,24,hcrd_adaptive_guided,0.036788312885354224,,0.9299442091721638
endpoint_outlier,24,gaussian_oracle,0.002457951349700773,,0.16941178042248228
irregular_grid_affine_plus_sine,24,hcrd_raw,0.0007128798057194186,0.9993460346395712,
weak_oscillation_strong_curvature,25,hcrd_raw,8.516699155171713,0.00039925355759375374,
weak_oscillation_strong_curvature,25,hcrd_thresholded,8.516699155171713,0.00039925355759375374,
weak_oscillation_strong_curvature,25,hcrd_adaptive_guided,7.950766933292249,0.0005963866197811628,
weak_oscillation_strong_curvature,25,gaussian_oracle,2.2864122117480594e-06,0.009684238495959445,
endpoint_outlier,25,hcrd_raw,0.03925780156000902,,2.7024016344376802
endpoint_outlier,25,hcrd_thresholded,2.4390794053549945,,2.7024016344376802
endpoint_outlier,25,hcrd_adaptive_guided,0.02670299831411825,,0.8680802247382393
endpoint_outlier,25,gaussian_oracle,0.0032878476467788687,,0.19246258762554486
irregular_grid_affine_plus_sine,25,hcrd_raw,0.0006568893908747368,0.9994998372699613,
weak_oscillation_strong_curvature,26,hcrd_raw,8.516699155171713,0.00017113576177414116,
weak_oscillation_strong_curvature,26,hcrd_thresholded,8.516699155171713,0.00017113576177414116,
weak_oscillation_strong_curvature,26,hcrd_adaptive_guided,7.872115923729535,0.00016800475916093867,
weak_oscillation_strong_curvature,26,gaussian_oracle,2.107138942251667e-06,0.004254792083754014,
endpoint_outlier,26,hcrd_raw,0.033663073077271205,,2.466357547161727
endpoint_outlier,26,hcrd_thresholded,2.031600084229523,,2.466357547161727
endpoint_outlier,26,hcrd_adaptive_guided,0.03038065042926113,,0.9165409356394768
endpoint_outlier,26,gaussian_oracle,0.005174066144264227,,0.3524448333582706
irregular_grid_affine_plus_sine,26,hcrd_raw,0.0008008216099286932,0.9991860976869703,
weak_oscillation_strong_curvature,27,hcrd_raw,8.516699155171713,0.00048513429313546335,
weak_oscillation_strong_curvature,27,hcrd_thresholded,8.516699155171713,0.00048513429313546335,
weak_oscillation_strong_curvature,27,hcrd_adaptive_guided,7.950825712818194,0.0006826960389147325,
weak_oscillation_strong_curvature,27,gaussian_oracle,2.3851746843084163e-06,0.012000391267327545,
endpoint_outlier,27,hcrd_raw,0.11728347250561318,,1.6425626216723492
endpoint_outlier,27,hcrd_thresholded,0.9010938402454861,,1.6425626216723492
endpoint_outlier,27,hcrd_adaptive_guided,0.01364772087029477,,0.359835016156809
endpoint_outlier,27,gaussian_oracle,0.003766036938896896,,0.02722937183093324
irregular_grid_affine_plus_sine,27,hcrd_raw,0.0008282262230719324,0.9993795072354719,
