representation,seed,condition,test_bearing,rmse,mae,late_rmse,test_windows
hybrid_mass6,17,37.5Hz11kN,Bearing2_2,0.15190249601136477,0.12465199468900043,0.10990100948403163,152
hybrid_mass6,17,37.5Hz11kN,Bearing2_3,0.11496121755395629,0.08870443823589791,0.16039305126425824,524
hybrid_mass6,17,37.5Hz11kN,Bearing2_4,0.3734118874559795,0.35059704062232855,0.4759957544318888,33
hybrid_mass6,17,37.5Hz11kN,Bearing2_5,0.16584769778104116,0.12581019532462318,0.216279980036293,330
hybrid_mass6,17,40Hz10kN,Bearing3_1,0.1504877308613758,0.1317276896048457,0.1946367094056972,2529
hybrid_mass6,17,40Hz10kN,Bearing3_2,0.21436552666042788,0.17121687827586282,0.15982831968730202,2487
hybrid_mass6,17,40Hz10kN,Bearing3_3,0.12846390911592648,0.10811924656061704,0.15497232879494854,362
hybrid_mass6,17,40Hz10kN,Bearing3_4,0.16282435967751735,0.12731114925812967,0.2266128113672626,1506
hybrid_mass6,17,40Hz10kN,Bearing3_5,0.17743884318782976,0.14945264688895257,0.0961892444167948,105
hybrid_mass6,29,35Hz12kN,Bearing1_1,0.18452356740922668,0.14609379287552757,0.28239256039512756,114
hybrid_mass6,29,35Hz12kN,Bearing1_2,0.2841271151008158,0.22956766106701706,0.11637755155662148,152
hybrid_mass6,29,35Hz12kN,Bearing1_3,0.09979053125208467,0.07523523648136542,0.12748035010937467,149
hybrid_mass6,29,35Hz12kN,Bearing1_4,0.2635924951437588,0.22552494693799133,0.3391953274549906,113
hybrid_mass6,29,35Hz12kN,Bearing1_5,0.15458989353908886,0.13699096500879046,0.18415383594710097,43
hybrid_mass6,29,37.5Hz11kN,Bearing2_1,0.2882793979070308,0.22029733906308327,0.4447394557695423,482
hybrid_mass6,29,37.5Hz11kN,Bearing2_2,0.14882262560611428,0.12182848923232176,0.09785218512543513,152
hybrid_mass6,29,37.5Hz11kN,Bearing2_3,0.11553492176806819,0.08838522006586769,0.16112923831899018,524
hybrid_mass6,29,37.5Hz11kN,Bearing2_4,0.37602003583253885,0.3542455090548347,0.47168837486968884,33
hybrid_mass6,29,37.5Hz11kN,Bearing2_5,0.16392827063109155,0.12431871419043944,0.2080709206466125,330
hybrid_mass6,29,40Hz10kN,Bearing3_1,0.15025002010120966,0.13189376095329106,0.19022242788450264,2529
hybrid_mass6,29,40Hz10kN,Bearing3_2,0.2145503766387321,0.17255958975949512,0.1683219205235113,2487
hybrid_mass6,29,40Hz10kN,Bearing3_3,0.13016350562944692,0.10954656232236,0.16270306298992493,362
hybrid_mass6,29,40Hz10kN,Bearing3_4,0.15602798411963226,0.12173367105628104,0.2173841662195489,1506
hybrid_mass6,29,40Hz10kN,Bearing3_5,0.18615899531959626,0.15635658574672565,0.10310254550420053,105
hybrid_mass6,41,35Hz12kN,Bearing1_1,0.17994658984297113,0.14494208885681767,0.26870540683626104,114
hybrid_mass6,41,35Hz12kN,Bearing1_2,0.28956776554366603,0.23406256964802452,0.11856594560609122,152
hybrid_mass6,41,35Hz12kN,Bearing1_3,0.1096078193852101,0.0836025468647276,0.13664252460804013,149
hybrid_mass6,41,35Hz12kN,Bearing1_4,0.2622019407930067,0.225729645206109,0.3384797318921633,113
hybrid_mass6,41,35Hz12kN,Bearing1_5,0.15423234962885196,0.13383258082911126,0.1807151315623886,43
hybrid_mass6,41,37.5Hz11kN,Bearing2_1,0.29067875706575724,0.22206611607233478,0.44785025805652856,482
hybrid_mass6,41,37.5Hz11kN,Bearing2_2,0.14688947051600698,0.12034274276675083,0.09928308379907456,152
hybrid_mass6,41,37.5Hz11kN,Bearing2_3,0.11503293504324515,0.08972091630492533,0.15955782626429288,524
hybrid_mass6,41,37.5Hz11kN,Bearing2_4,0.38410754523390217,0.3585740871115042,0.49518899941215505,33
hybrid_mass6,41,37.5Hz11kN,Bearing2_5,0.164697668828311,0.12331576530965924,0.20888699660953938,330
hybrid_mass6,41,40Hz10kN,Bearing3_1,0.14436554517780367,0.1260504235695981,0.1850705625905327,2529
hybrid_mass6,41,40Hz10kN,Bearing3_2,0.20401616013587076,0.15665733637759696,0.13346555233017895,2487
hybrid_mass6,41,40Hz10kN,Bearing3_3,0.12238942071612503,0.10224868443923385,0.15064038035641064,362
hybrid_mass6,41,40Hz10kN,Bearing3_4,0.1509920512050061,0.11654310536245126,0.21447682658795608,1506
hybrid_mass6,41,40Hz10kN,Bearing3_5,0.17576660231145938,0.14185282069997873,0.07640486674638991,105
hybrid_mass6,53,35Hz12kN,Bearing1_1,0.17458861952702653,0.14345017461915766,0.25362452620517495,114
hybrid_mass6,53,35Hz12kN,Bearing1_2,0.28675059597189717,0.23130668686444333,0.11491586329219033,152
hybrid_mass6,53,35Hz12kN,Bearing1_3,0.10202225549820344,0.07760010673338232,0.12847256529796897,149
hybrid_mass6,53,35Hz12kN,Bearing1_4,0.2670900250186129,0.23021240502263712,0.3449872733819625,113
hybrid_mass6,53,35Hz12kN,Bearing1_5,0.155151063941588,0.13677852514829028,0.17632186036348968,43
hybrid_mass6,53,37.5Hz11kN,Bearing2_1,0.2925642311103322,0.223471160373581,0.4508160525631771,482
hybrid_mass6,53,37.5Hz11kN,Bearing2_2,0.14588346005169295,0.11983199425088531,0.10096607180064895,152
hybrid_mass6,53,37.5Hz11kN,Bearing2_3,0.11232199189752116,0.08598417438138196,0.15893741087023971,524
hybrid_mass6,53,37.5Hz11kN,Bearing2_4,0.36040885605019035,0.3375991593653694,0.4580975242362474,33
hybrid_mass6,53,37.5Hz11kN,Bearing2_5,0.15993906153289267,0.12317611767734953,0.20974386607090995,330
hybrid_mass6,53,40Hz10kN,Bearing3_1,0.1491808962102768,0.13114890204118113,0.19136869782079682,2529
hybrid_mass6,53,40Hz10kN,Bearing3_2,0.20085895626759073,0.14959003477606672,0.12627710395593147,2487
hybrid_mass6,53,40Hz10kN,Bearing3_3,0.1265564893548012,0.10717110143323788,0.15395565976459888,362
hybrid_mass6,53,40Hz10kN,Bearing3_4,0.15600295388572147,0.11950475111372937,0.22732337237921602,1506
hybrid_mass6,53,40Hz10kN,Bearing3_5,0.18441888169567705,0.15393671238072815,0.08384430168273595,105
