latent_index,max_quadratic_guide_l2_ratio,max_quadratic_hard_l2_ratio,median_pairwise_knot_jaccard,method,noise_sigma
9,0.27381230488873,0.752789474033293,1.0,hcrd_quadratic_guided,0.05
10,,,0.9516129032258065,hcrd_raw,0.05
10,,,1.0,hcrd_robust,0.05
10,,,0.5625,hcrd_gaussian_guided,0.05
10,,,1.0,hcrd_adaptive_guided,0.05
10,0.2802177749250908,0.5807368693784436,1.0,hcrd_quadratic_guided,0.05
11,,,0.9354838709677419,hcrd_raw,0.05
11,,,1.0,hcrd_robust,0.05
11,,,0.5625,hcrd_gaussian_guided,0.05
11,,,1.0,hcrd_adaptive_guided,0.05
11,0.3578493674358016,0.6714782092671924,1.0,hcrd_quadratic_guided,0.05
12,,,0.9375,hcrd_raw,0.05
12,,,1.0,hcrd_robust,0.05
12,,,0.6666666666666666,hcrd_gaussian_guided,0.05
12,,,1.0,hcrd_adaptive_guided,0.05
12,0.29676825522276784,0.6543531191881106,1.0,hcrd_quadratic_guided,0.05
13,,,0.944,hcrd_raw,0.05
13,,,1.0,hcrd_robust,0.05
13,,,0.6666666666666666,hcrd_gaussian_guided,0.05
13,,,1.0,hcrd_adaptive_guided,0.05
13,0.30805149465243725,0.6641821530112821,1.0,hcrd_quadratic_guided,0.05
14,,,0.9444444444444444,hcrd_raw,0.05
14,,,1.0,hcrd_robust,0.05
14,,,0.5882352941176471,hcrd_gaussian_guided,0.05
14,,,1.0,hcrd_adaptive_guided,0.05
14,0.3122735186759703,0.3009907032702236,1.0,hcrd_quadratic_guided,0.05
15,,,0.944,hcrd_raw,0.05
15,,,1.0,hcrd_robust,0.05
15,,,0.6666666666666666,hcrd_gaussian_guided,0.05
15,,,1.0,hcrd_adaptive_guided,0.05
15,0.30792729764164456,0.7789352442721071,1.0,hcrd_quadratic_guided,0.05
16,,,0.9444444444444444,hcrd_raw,0.05
16,,,1.0,hcrd_robust,0.05
16,,,0.5,hcrd_gaussian_guided,0.05
16,,,1.0,hcrd_adaptive_guided,0.05
16,0.28220719996145194,0.45396691978640896,1.0,hcrd_quadratic_guided,0.05
17,,,0.9444444444444444,hcrd_raw,0.05
17,,,1.0,hcrd_robust,0.05
17,,,0.5294117647058824,hcrd_gaussian_guided,0.05
17,,,1.0,hcrd_adaptive_guided,0.05
17,0.27412781456186225,0.5093216735186626,1.0,hcrd_quadratic_guided,0.05
18,,,0.936,hcrd_raw,0.05
18,,,1.0,hcrd_robust,0.05
18,,,0.6428571428571429,hcrd_gaussian_guided,0.05
18,,,1.0,hcrd_adaptive_guided,0.05
18,0.28014639237165223,0.8556109165451732,1.0,hcrd_quadratic_guided,0.05
19,,,0.9448818897637795,hcrd_raw,0.05
19,,,1.0,hcrd_robust,0.05
19,,,0.5625,hcrd_gaussian_guided,0.05
