configuration,join_ratio,curvature_ratio,certified_region,trials,aware_exact_probability,aware_wilson_low,aware_wilson_high,naive_exact_probability,naive_wilson_low,naive_wilson_high,aware_minus_naive_exact,aware_mean_knot_f1,naive_mean_knot_f1,aware_mean_localisation_error_widths,naive_mean_localisation_error_widths,theorem_implication_violations,noise_only_theorem_implication_violations
"K=8,m=16,n=129",0.0,2.75,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.0,3.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.0,3.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.0,4.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.0,4.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.25,1.5,0,1000,0.143,0.12266731749770252,0.16606498806098383,0.811,0.7855616182967687,0.8340581379252162,-0.668,0.7585714285714285,0.972,0.0816875,0.0138125,0,0
"K=8,m=16,n=129",0.25,2.0,0,1000,0.992,0.9842936654690199,0.995940804181194,1.0,0.996173241514445,1.0,-0.008,0.9988571428571429,1.0,0.0005,0.0,0,0
"K=8,m=16,n=129",0.25,2.25,0,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.25,2.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.25,2.75,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.25,3.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.25,3.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.25,4.0,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.25,4.5,1,1000,1.0,0.996173241514445,1.0,1.0,0.996173241514445,1.0,0.0,1.0,1.0,0.0,0.0,0,0
"K=8,m=16,n=129",0.5,1.5,0,1000,0.0,2.168404344971009e-19,0.0038267584855551234,0.874,0.8519904953398139,0.8931470893129909,-0.874,0.2809999999999999,0.981,0.1611875,0.008625,0,0
"K=8,m=16,n=129",0.5,2.0,0,1000,0.85,0.8265313415731996,0.8707899274869118,1.0,0.996173241514445,1.0,-0.15,0.9771428571428572,1.0,0.011125,0.0,0,0
