noise_sigma,latent_index,method,mean_pairwise_jaccard,mean_knot_count,mean_target_knot_f1,mean_pointwise_baseline_variance
0.03,25,hcrd_guided,0.8368657268657268,11.0,0.562156862745098,0.005230060544651588
0.03,25,hcrd_adaptive_guided,1.0,9.0,0.6285714285714286,0.0009997902835028466
0.03,26,hcrd_raw,0.9104470032533467,118.1,0.1137668407928037,0.000676880535051404
0.03,26,hcrd_robust,1.0,2.0,0.0,0.0003561757031230925
0.03,26,hcrd_guided,0.9237891737891737,11.2,0.4566176470588236,0.005850651026782497
0.03,26,hcrd_adaptive_guided,1.0,9.0,0.5857142857142857,0.0016812950354073166
0.03,27,hcrd_raw,0.9228659583806177,120.5,0.10996462441473417,0.0006295466756510665
0.03,27,hcrd_robust,0.9333333333333333,2.1,0.0,0.05997979632911799
0.03,27,hcrd_guided,0.9395622895622896,11.0,0.2743627450980392,0.006191798691654815
0.03,27,hcrd_adaptive_guided,0.9955555555555555,9.0,0.2714285714285714,0.0019797982702096885
0.03,28,hcrd_raw,0.9198806876241901,119.9,0.11211460251025038,0.0006652095209260964
0.03,28,hcrd_robust,1.0,2.0,0.0,0.0004595855570707618
0.03,28,hcrd_guided,0.9635327635327636,11.0,0.3375,0.0029998288539633895
0.03,28,hcrd_adaptive_guided,1.0,9.0,0.3571428571428571,0.0013737084220333793
0.03,29,hcrd_raw,0.929478945766559,121.1,0.10943205486410974,0.0006601657794287743
0.03,29,hcrd_robust,1.0,2.0,0.0,0.0008093120312266317
0.03,29,hcrd_guided,0.8967106967106967,10.5,0.37499999999999994,0.0036149069473887445
0.03,29,hcrd_adaptive_guided,1.0,9.0,0.37142857142857133,0.0008373922442696082
0.05,0,hcrd_raw,0.9485119697067437,122.6,0.10655839822068307,0.0017208544841774555
0.05,0,hcrd_robust,0.8703703703703703,2.2,0.0,0.03199094575031131
0.05,0,hcrd_guided,0.6744739845255842,13.6,0.16560912084131896,0.03730564616876078
0.05,0,hcrd_adaptive_guided,1.0,9.0,0.2857142857142857,0.0006728281738443786
0.05,1,hcrd_raw,0.9461981262534834,122.2,0.1069313094089945,0.0017939639154797955
0.05,1,hcrd_robust,0.8703703703703701,2.2,0.0,0.09923840521016226
0.05,1,hcrd_guided,0.6412821856887905,12.6,0.34688682490540074,0.04350931893724219
0.05,1,hcrd_adaptive_guided,1.0,9.0,0.5714285714285714,0.0011801109130585466
0.05,2,hcrd_raw,0.9419895346446446,121.5,0.11070392561925715,0.0016195654031721043
0.05,2,hcrd_robust,1.0,2.0,0.0,0.001660717539437089
0.05,2,hcrd_guided,0.5947181968931196,12.9,0.1941327583665045,0.05083132457679285
0.05,2,hcrd_adaptive_guided,1.0,9.0,0.2857142857142857,0.0004906568141709892
0.05,3,hcrd_raw,0.949979027559951,122.8,0.10955942109707217,0.0015265985631398194
0.05,3,hcrd_robust,0.9333333333333331,2.1,0.0,0.026967368408249873
0.05,3,hcrd_guided,0.5906488600838445,13.0,0.5444934640522876,0.03582760023707556
0.05,3,hcrd_adaptive_guided,1.0,9.0,0.7428571428571428,0.0006935680712247964
0.05,4,hcrd_raw,0.9538958091596078,123.2,0.1092227911376944,0.0016888356904435993
0.05,4,hcrd_robust,1.0,2.0,0.0,0.002239848290985442
0.05,4,hcrd_guided,0.4800327430322495,14.6,0.3630204298625352,0.0479112816379938
0.05,4,hcrd_adaptive_guided,1.0,9.0,0.6571428571428571,0.0005480987091984197
0.05,5,hcrd_raw,0.9389522214832586,122.3,0.11000224909084107,0.001667492961650459
0.05,5,hcrd_robust,0.9333333333333333,2.1,0.0,0.0643102795737115
0.05,5,hcrd_guided,0.6252012929928307,14.0,0.09746380210776495,0.06458496780464472
0.05,5,hcrd_adaptive_guided,1.0,9.0,0.3571428571428571,0.00040878949415175863
0.05,6,hcrd_raw,0.9536521871426018,123.6,0.10889036073353046,0.0016604565532128631
0.05,6,hcrd_robust,1.0,2.0,0.0,0.0012399531558175067
0.05,6,hcrd_guided,0.6931180348337213,11.6,0.4258823529411765,0.021851342308071193
0.05,6,hcrd_adaptive_guided,1.0,9.0,0.6714285714285714,0.0007993682797984069
0.05,7,hcrd_raw,0.9361699581459129,121.8,0.10573524345424704,0.0017040333659470372
0.05,7,hcrd_robust,1.0,2.0,0.0,0.0020454020753173617
0.05,7,hcrd_guided,0.5393900737682987,13.7,0.28802201582387343,0.040570890887758636
0.05,7,hcrd_adaptive_guided,1.0,9.0,0.4428571428571428,0.0006918996400567414
0.05,8,hcrd_raw,0.9380287818638732,122.0,0.1102430237644713,0.0017261017242481095
0.05,8,hcrd_robust,1.0,2.0,0.0,0.0016758995846261648
0.05,8,hcrd_guided,0.6278088068335745,12.6,0.41093911248710013,0.03226558927923239
0.05,8,hcrd_adaptive_guided,1.0,9.0,0.5571428571428572,0.0004894158091032949
0.05,9,hcrd_raw,0.9477046060321227,122.4,0.10832214443587392,0.0017468311586993025
0.05,9,hcrd_robust,1.0,2.0,0.0,0.0011810662704572505
0.05,9,hcrd_guided,0.5064532382153641,12.8,0.41661936704506364,0.03439524623532739
0.05,9,hcrd_adaptive_guided,0.9866666666666668,9.0,0.6714285714285715,0.0012144452235214865
0.05,10,hcrd_raw,0.9379579394368182,122.8,0.10485450096823043,0.0016193212997209576
0.05,10,hcrd_robust,1.0,2.0,0.0,0.0005034680187753926
0.05,10,hcrd_guided,0.7220204988032646,12.0,0.4136764705882353,0.0441495591569529
0.05,10,hcrd_adaptive_guided,0.9955555555555555,9.0,0.5428571428571428,0.0014992221840837642
0.05,11,hcrd_raw,0.947657043457866,123.2,0.10923605961222241,0.001653291171410793
0.05,11,hcrd_robust,1.0,2.0,0.0,0.001429045671753337
0.05,11,hcrd_guided,0.5925975141893616,12.2,0.33007223942208463,0.04707239412895574
0.05,11,hcrd_adaptive_guided,0.9822222222222223,9.0,0.45714285714285713,0.0011522785593702787
0.05,12,hcrd_raw,0.9323339576448935,121.6,0.10582184294433188,0.0017956947247038833
0.05,12,hcrd_robust,1.0,2.0,0.0,0.0017528666157832487
0.05,12,hcrd_guided,0.6085513179630827,12.4,0.3378147574819401,0.041596192878372296
0.05,12,hcrd_adaptive_guided,0.9688888888888889,9.0,0.48571428571428565,0.0014528774310787666
0.05,13,hcrd_raw,0.9447897524088066,122.8,0.10797141318493848,0.0016662481832477591
