noise_sigma,latent_index,method,mean_pairwise_jaccard,mean_knot_count,mean_target_knot_f1,mean_pointwise_baseline_variance
0.05,13,hcrd_robust,1.0,2.0,0.0,0.0013578985225256384
0.05,13,hcrd_guided,0.5803643241672138,13.0,0.5357774337805298,0.03910854255748511
0.05,13,hcrd_adaptive_guided,1.0,9.0,0.9428571428571428,0.0006236704896451626
0.05,14,hcrd_raw,0.9531991034106849,123.2,0.1092094638242894,0.001613088602198322
0.05,14,hcrd_robust,1.0,2.0,0.0,0.0010710183851509775
0.05,14,hcrd_guided,0.7534045584045583,11.6,0.5433823529411763,0.019788693042841466
0.05,14,hcrd_adaptive_guided,1.0,9.0,0.5857142857142856,0.0004903331425513021
0.05,15,hcrd_raw,0.9443706604285815,122.3,0.11000400410531334,0.0016089333190701105
0.05,15,hcrd_robust,1.0,2.0,0.0,0.0002684285309044559
0.05,15,hcrd_guided,0.6955871379890989,12.4,0.5049019607843136,0.016067496808338404
0.05,15,hcrd_adaptive_guided,1.0,9.0,0.8428571428571427,0.0007978715373490802
0.05,16,hcrd_raw,0.9393398928420186,122.8,0.10642464040250403,0.0017882979508650981
0.05,16,hcrd_robust,1.0,2.0,0.0,0.0012809377037534427
0.05,16,hcrd_guided,0.5753924695875161,13.4,0.22910560715514278,0.032149122000936205
0.05,16,hcrd_adaptive_guided,1.0,9.0,0.3571428571428571,0.0004818309173401239
0.05,17,hcrd_raw,0.943007513357999,122.3,0.11000419798391119,0.0016775687849507137
0.05,17,hcrd_robust,0.8703703703703701,2.2,0.0,0.023830721987959803
0.05,17,hcrd_guided,0.6207071033541622,12.0,0.31756535947712417,0.02899682618932733
0.05,17,hcrd_adaptive_guided,1.0,9.0,0.5285714285714286,0.000798249405570046
0.05,18,hcrd_raw,0.9416224066099617,121.8,0.10884160867693418,0.0016808789430401776
0.05,18,hcrd_robust,1.0,2.0,0.0,0.002343139335577159
