cell,signal,design,n,trial,target_left,target_right,hct_left,hct_right,hct_width,hct_empty,hct_covers_target,hct_nontrivial,joint_contrast_coverage,unexplained_empty,positive_contrast_count,negative_contrast_count,hct_runtime_seconds
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,88,0.3,0.3,0.29868342533283077,0.30106599189954186,0.0023825665667110973,False,True,True,True,False,44,46,0.0014521999983116984
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,89,0.3,0.3,0.2973218398705139,0.30208714237821316,0.004765302507699243,False,True,True,True,False,43,46,0.0015781999682076275
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,90,0.3,0.3,0.29868342533283077,0.3003852573697871,0.0017018320369563411,False,True,True,True,False,49,51,0.0015561999753117561
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,91,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,49,50,0.001361900009214878
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,92,0.3,0.3,0.29868342533283077,0.30208714237821316,0.003403717045382393,False,True,True,True,False,44,46,0.0017262999899685383
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,93,0.3,0.3,0.29868342533283077,0.30106599189954186,0.0023825665667110973,False,True,True,True,False,47,49,0.0014771000132896006
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,94,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,49,51,0.0014115000376477838
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,95,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,47,49,0.0018585000070743263
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,96,0.3,0.3,0.29936416680551214,0.30106599189954186,0.0017018250940297186,False,True,True,True,False,49,50,0.0017041999963112175
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,97,0.3,0.3,0.29868342533283077,0.3003852573697871,0.0017018320369563411,False,True,True,True,False,45,47,0.0017214000108651817
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,98,0.3,0.3,0.29868342533283077,0.30072562263601277,0.002042197303182003,False,True,True,True,False,47,48,0.0016719999839551747
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,99,0.3,0.3,0.29868342533283077,0.30106599189954186,0.0023825665667110973,False,True,True,True,False,46,49,0.0017825000104494393
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,100,0.3,0.3,0.29868342533283077,0.30072562263601277,0.002042197303182003,False,True,True,True,False,47,48,0.001595499983523041
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,101,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,50,49,0.0016772999661043286
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,102,0.3,0.3,0.29868342533283077,0.30106599189954186,0.0023825665667110973,False,True,True,True,False,40,44,0.0017580999992787838
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,103,0.3,0.3,0.29868342533283077,0.30106599189954186,0.0023825665667110973,False,True,True,True,False,47,48,0.001816999982111156
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,104,0.3,0.3,0.29868342533283077,0.30072562263601277,0.002042197303182003,False,True,True,True,False,46,47,0.0019728000042960048
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,105,0.3,0.3,0.29868342533283077,0.15959266935364627,nan,True,False,False,False,False,48,50,0.0018091999809257686
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,106,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,47,47,0.0015607000095769763
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,107,0.3,0.3,0.299023798767047,0.30106599189954186,0.002042193132494874,False,True,True,True,False,45,48,0.001589599996805191
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,108,0.3,0.3,0.29868342533283077,0.30106599189954186,0.0023825665667110973,False,True,True,True,False,46,46,0.001714100013487041
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,109,0.3,0.3,0.29868342533283077,0.3003852573697871,0.0017018320369563411,False,True,True,True,False,49,51,0.001965200004633516
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,110,0.3,0.3,0.29868342533283077,0.30106599189954186,0.0023825665667110973,False,True,True,True,False,45,47,0.0019057999597862363
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,111,0.3,0.3,0.299023798767047,0.30106599189954186,0.002042193132494874,False,True,True,True,False,45,46,0.0016947999829426408
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,112,0.3,0.3,0.29868342533283077,0.30106599189954186,0.0023825665667110973,False,True,True,True,False,44,48,0.0015014000236988068
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,113,0.3,0.3,0.29936416680551214,0.3003852573697871,0.0010210905642749624,False,True,True,True,False,48,50,0.0015922999591566622
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,114,0.3,0.3,0.29868342533283077,0.30106599189954186,0.0023825665667110973,False,True,True,True,False,46,48,0.0016119000501930714
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,115,0.3,0.3,0.299023798767047,0.3003852573697871,0.0013614586027401177,False,True,True,True,False,46,48,0.0018492999952286482
