"cell","trial","bootstrap_seed","bootstrap_loops","sshaped_status","sshaped_inflection","sshaped_rss","sshaped_runtime_seconds","shapechange_status","shapechange_inflection","shapechange_left","shapechange_right","shapechange_runtime_seconds"
"paper_f1_cusp__uniform__n500",51,1725376662,1000,"ok",0.301397205588822,5.11095652712767,0.219999999999999,"ok",0.308444817855492,0.305873298393691,0.311996318443645,2.64
"paper_f1_cusp__uniform__n500",55,1689500070,1000,"ok",0.301397205588822,5.24041740492202,0.170000000000002,"ok",0.310978809442693,0.307442903740159,0.31429003621562,2.83
"paper_f1_cusp__uniform__n500",59,1735931685,1000,"ok",0.305389221556886,4.9237891691451,0.18,"ok",0.310120114511114,0.307636664838081,0.313827556437406,3.07
"paper_f1_cusp__uniform__n500",63,235447309,1000,"ok",0.301397205588822,4.69341289533316,0.25,"ok",0.31004486178547,0.307109035546028,0.313521342935327,3
"paper_f1_cusp__uniform__n500",67,421680753,1000,"ok",0.311377245508982,4.53105531557057,0.189999999999998,"ok",0.309662713538526,0.30685667507259,0.313017845537175,3.06
"paper_f1_cusp__uniform__n500",71,1507596137,1000,"ok",0.301397205588822,4.85344377705478,0.219999999999999,"ok",0.311501848266367,0.308396977033322,0.315421118767475,2.89
"paper_f1_cusp__uniform__n500",75,401722561,1000,"ok",0.301397205588822,4.92292567988015,0.310000000000002,"ok",0.311460559097585,0.308210179586389,0.314577405126576,3.14
"paper_f1_cusp__uniform__n500",79,628871333,1000,"ok",0.301397205588822,4.39579779813372,0.189999999999998,"ok",0.309358096396686,0.306910937715505,0.312823255413356,3.16
"paper_f1_cusp__uniform__n500",83,1650026953,1000,"ok",0.301397205588822,4.8849202080391,0.279999999999994,"ok",0.308729888732226,0.30605407591419,0.312111819012595,2.92
"paper_f1_cusp__uniform__n500",87,1579583955,1000,"ok",0.297405189620758,4.8376132306495,0.219999999999999,"ok",0.310467687904405,0.307362670210379,0.314006789727577,3.56
"paper_f1_cusp__uniform__n500",91,1205876613,1000,"ok",0.303393213572854,4.71388422782042,0.230000000000004,"ok",0.311736846734395,0.308158112691359,0.31514549211881,3.25
"paper_f1_cusp__uniform__n500",95,1427235215,1000,"ok",0.301397205588822,4.6759810007099,0.219999999999999,"ok",0.309855371516994,0.306707335386177,0.313759387728334,3.53
"paper_f1_cusp__uniform__n500",99,305426002,1000,"ok",0.30938123752495,5.05768602667012,0.280000000000001,"ok",0.312037777668604,0.308179027512416,0.315900877377917,3.56
"paper_f1_cusp__uniform__n500",103,1671696163,1000,"ok",0.297405189620758,4.68589949859656,0.259999999999991,"ok",0.31366126833063,0.309970708388718,0.317812276425774,3.82000000000001
"paper_f1_cusp__uniform__n500",107,232654183,1000,"ok",0.297405189620758,4.93543678982281,0.290000000000006,"ok",0.311786142144471,0.308306943467279,0.315329193788211,3.98999999999999
"paper_f1_cusp__uniform__n500",111,532218263,1000,"ok",0.301397205588822,5.06936239788345,0.230000000000004,"ok",0.312779267696441,0.308669633604022,0.316002108146246,3.73999999999999
"paper_f1_cusp__uniform__n500",115,1987127813,1000,"ok",0.303393213572854,4.49373977158841,0.260000000000005,"ok",0.309390254222641,0.306667373274322,0.312686288770318,4.16999999999999
"paper_f1_cusp__uniform__n500",119,1214256014,1000,"ok",0.29940119760479,4.69308704976612,0.280000000000001,"ok",0.310340892493239,0.30735249347175,0.31406665271587,3.77000000000001
"paper_f1_cusp__uniform__n500",123,183953552,1000,"ok",0.301397205588822,4.09247946762806,0.280000000000001,"ok",0.310524752517501,0.307284242130847,0.313626717127117,4.55999999999999
"paper_f1_cusp__uniform__n500",127,1752134902,1000,"ok",0.303393213572854,4.75771384023288,0.350000000000009,"ok",0.310615974434018,0.307600622540668,0.314610253556224,4.34
