cell,trial,method,covered,left,right,width,empty
paper_f4_logistic__uniform__n1000,35,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,36,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,36,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,37,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,37,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,38,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,38,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,39,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,39,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,40,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,40,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,41,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,41,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,42,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,42,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,43,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,43,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,44,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,44,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,45,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,45,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,46,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,46,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,47,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,47,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,48,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,48,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,49,SCI,False,0.9560439560439561,0.999000999000999,0.042957042957042946,False
paper_f4_logistic__uniform__n1000,49,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,50,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,50,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,51,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,51,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,52,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,52,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,53,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,53,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,54,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,54,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,55,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,55,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,56,SCI,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
paper_f4_logistic__uniform__n1000,56,PBP,True,0.000999000999000999,0.999000999000999,0.9980019980019981,False
