noise_sigma,regularization,latent_index,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,0.003,7,0.9,0.5026649661871416,4.606730987740411
0.01,0.003,7,0.9,0.4723134059131531,4.4033361285641455
0.01,0.003,7,0.9,0.45188822033774334,3.290182257308122
0.01,0.003,7,1.0,0.44444570350703017,4.537651767790175
0.01,0.003,7,1.0,0.453934661395187,3.4049772460284684
0.01,0.003,7,1.0,0.4385122504771572,3.1000855623193555
0.01,0.01,0,1.0,0.35437293542882253,3.451367773946817
0.01,0.01,0,1.0,0.45673791204741493,1.9124936096675107
0.01,0.01,0,1.0,0.41174741544563154,4.161957934899701
0.01,0.01,0,1.0,0.3961450237799258,0.2213348924508413
0.01,0.01,0,1.0,0.32977200976399823,3.567050075265496
0.01,0.01,0,1.0,0.3525279472103796,3.6792043334472218
0.01,0.01,0,1.0,0.34474324270333523,3.126726722599931
0.01,0.01,0,1.0,0.44261793329492355,4.045623194440327
0.01,0.01,0,1.0,0.4802384998151174,2.0220594813441077
0.01,0.01,0,1.0,0.35937934223822465,4.067391013014806
0.01,0.01,1,1.0,0.47882753257365873,0.3648612310876745
0.01,0.01,1,1.0,0.4105497397476296,0.27638812670440926
0.01,0.01,1,1.0,0.3970976220416831,0.244790599667581
0.01,0.01,1,1.0,0.37369264388522183,0.3179420975606507
0.01,0.01,1,1.0,0.44900158462909023,0.2115076292113248
0.01,0.01,1,1.0,0.42371803321497714,0.2668978690888954
0.01,0.01,1,1.0,0.3933256969891094,0.3708883047292911
0.01,0.01,1,1.0,0.40494059197121113,0.28280908384217474
0.01,0.01,1,1.0,0.3732244762192397,0.301184269278152
0.01,0.01,1,1.0,0.390420023310688,0.3962445695999259
0.01,0.01,2,1.0,0.46385849400261925,3.0512868280554377
0.01,0.01,2,1.0,0.4429522693196684,4.2493141266268815
0.01,0.01,2,1.0,0.461062742200262,0.3473289920918344
0.01,0.01,2,1.0,0.420079540228578,0.44532640382403105
0.01,0.01,2,1.0,0.37624620073361414,1.9709769565900972
0.01,0.01,2,1.0,0.3538832734636066,3.1255351471843067
0.01,0.01,2,1.0,0.40852927689218177,2.8697616154614134
0.01,0.01,2,1.0,0.3542479212909619,3.8968604312113513
0.01,0.01,2,1.0,0.4141409977159414,4.099635761164825
0.01,0.01,2,1.0,0.40483065892212783,0.4890822414991169
0.01,0.01,3,1.0,0.3894683265598662,0.36665910017470205
0.01,0.01,3,1.0,0.4208616572216733,0.2641964507226205
0.01,0.01,3,1.0,0.396583024157669,0.3584378648109861
0.01,0.01,3,1.0,0.42649753514076366,3.2780421750750546
0.01,0.01,3,1.0,0.383025089362765,0.2900155413145935
0.01,0.01,3,1.0,0.39043442578031995,0.19937586463692547
