suite,noise_sigma,trial,seed,method,parameter,baseline_mse,baseline_nmse
exact,0.03,37,20261438,hcrd_thresholded,z=3.5,6.61324220256864e-05,5.8931048270206167e-05
exact,0.03,37,20261438,hcrd_adaptive_guided,pilot-calibrated,0.012230917151588215,0.010899052945152686
exact,0.03,37,20261438,emd_residue,default,0.0014708023173524618,0.0013106418864587078
exact,0.03,37,20261438,vmd_low_mode,K=5;alpha=2000,0.019716489913297455,0.01756949742969142
exact,0.03,37,20261438,l1_trend_oracle,lambda=300,0.046704867175165005,0.04161902282792809
exact,0.03,37,20261438,gaussian_oracle,sigma=64,0.001224504595464287,0.0010911643217054276
exact,0.03,38,20261439,hcrd_centered,none,0.7725362659410298,0.667575193005232
exact,0.03,38,20261439,hcrd_thresholded,z=3.5,0.00016957849837457277,0.0001465386206096689
exact,0.03,38,20261439,hcrd_adaptive_guided,pilot-calibrated,0.01140075921816493,0.009851788674544367
exact,0.03,38,20261439,emd_residue,default,0.001807594880858954,0.001562004988846436
exact,0.03,38,20261439,vmd_low_mode,K=5;alpha=2000,0.0171302627325381,0.014802849981385058
exact,0.03,38,20261439,l1_trend_oracle,lambda=300,0.04235511013616145,0.036600509348857134
exact,0.03,38,20261439,gaussian_oracle,sigma=64,0.0021582766619013248,0.0018650411930790142
exact,0.03,39,20261440,hcrd_centered,none,0.560135043809066,1.0102182423699948
exact,0.03,39,20261440,hcrd_thresholded,z=3.5,8.928898702819135e-05,0.00016103502991925603
exact,0.03,39,20261440,hcrd_adaptive_guided,pilot-calibrated,0.014851254834662942,0.02678462760343947
exact,0.03,39,20261440,emd_residue,default,0.00041976706723682823,0.0007570609151412864
exact,0.03,39,20261440,vmd_low_mode,K=5;alpha=2000,0.023132281215250232,0.04171967587024289
exact,0.03,39,20261440,l1_trend_oracle,lambda=300,0.024630442093184077,0.04442164830639298
exact,0.03,39,20261440,gaussian_oracle,sigma=64,0.021994091615409942,0.039666921075228845
exact,0.03,40,20261441,hcrd_centered,none,1.0004787492199712,0.6435134704203979
exact,0.03,40,20261441,hcrd_thresholded,z=3.5,0.29571123856031045,0.1902031057797314
exact,0.03,40,20261441,hcrd_adaptive_guided,pilot-calibrated,0.011980264593759537,0.007705772512705085
exact,0.03,40,20261441,emd_residue,default,0.10905658938222906,0.07014580205755123
exact,0.03,40,20261441,vmd_low_mode,K=5;alpha=2000,0.02091539479045226,0.013452897722525633
exact,0.03,40,20261441,l1_trend_oracle,lambda=300,0.06202977360035741,0.03989789379342548
exact,0.03,40,20261441,gaussian_oracle,sigma=64,0.003816362189516499,0.002454705288714719
exact,0.03,41,20261442,hcrd_centered,none,0.4802747520654711,0.9959873369255001
exact,0.03,41,20261442,hcrd_thresholded,z=3.5,0.00020535371649826954,0.0004258597820169904
exact,0.03,41,20261442,hcrd_adaptive_guided,pilot-calibrated,0.01597461948326639,0.033127951550881815
exact,0.03,41,20261442,emd_residue,default,0.0007407093268217864,0.0015360730637710945
exact,0.03,41,20261442,vmd_low_mode,K=5;alpha=2000,0.020991103299997243,0.04353106838321225
exact,0.03,41,20261442,l1_trend_oracle,lambda=300,0.01986914963663701,0.04120437592953183
exact,0.03,41,20261442,gaussian_oracle,sigma=64,0.022801333249385478,0.04728509896416644
exact,0.03,42,20261443,hcrd_centered,none,0.6166016324367747,0.5848564998613716
exact,0.03,42,20261443,hcrd_thresholded,z=3.5,0.001238927652245524,0.00117514267260407
