baseline_mse,knot_count,latent_index,method,noise_sigma,repetition,target_knot_f1
0.018176563230648427,3,2,hcrd_robust,0.01,8,0.25
0.07827600653071702,11,2,hcrd_gaussian_guided,0.01,8,0.125
0.07095176678195225,9,2,hcrd_adaptive_guided,0.01,8,0.14285714285714285
0.06298250287618123,9,2,hcrd_quadratic_guided,0.01,8,0.8571428571428571
0.7681599730850227,100,2,hcrd_raw,0.01,9,0.11428571428571428
0.017396754712462412,3,2,hcrd_robust,0.01,9,0.25
0.07900975344905706,11,2,hcrd_gaussian_guided,0.01,9,0.125
0.07191110239397096,9,2,hcrd_adaptive_guided,0.01,9,0.14285714285714285
0.06315950619840217,9,2,hcrd_quadratic_guided,0.01,9,0.8571428571428571
0.696833176138064,105,3,hcrd_raw,0.01,0,0.12727272727272726
0.14682011120611377,3,3,hcrd_robust,0.01,0,0.25
0.11059649684246346,11,3,hcrd_gaussian_guided,0.01,0,0.375
0.09120351362696372,9,3,hcrd_adaptive_guided,0.01,0,0.42857142857142855
0.08167232719995679,9,3,hcrd_quadratic_guided,0.01,0,0.5714285714285714
0.6927431792555541,106,3,hcrd_raw,0.01,1,0.12612612612612611
0.09224172890329092,2,3,hcrd_robust,0.01,1,0.0
0.11189387896679956,11,3,hcrd_gaussian_guided,0.01,1,0.25
0.09309103278623392,9,3,hcrd_adaptive_guided,0.01,1,0.2857142857142857
0.0821457760706137,9,3,hcrd_quadratic_guided,0.01,1,0.5714285714285714
0.7004269765202068,100,3,hcrd_raw,0.01,2,0.11428571428571428
0.6630553870835046,3,3,hcrd_robust,0.01,2,0.0
0.10331338902971626,11,3,hcrd_gaussian_guided,0.01,2,0.375
0.08521147048946785,9,3,hcrd_adaptive_guided,0.01,2,0.42857142857142855
0.08162633596290131,9,3,hcrd_quadratic_guided,0.01,2,0.5714285714285714
0.7086263712754647,113,3,hcrd_raw,0.01,3,0.11864406779661016
0.152839237600866,3,3,hcrd_robust,0.01,3,0.25
0.10377802384658698,11,3,hcrd_gaussian_guided,0.01,3,0.375
0.09248539080286088,10,3,hcrd_adaptive_guided,0.01,3,0.39999999999999997
0.0822492655871194,9,3,hcrd_quadratic_guided,0.01,3,0.5714285714285714
0.7022663188331885,107,3,hcrd_raw,0.01,4,0.125
0.15162594086677744,3,3,hcrd_robust,0.01,4,0.25
0.09909357548580024,11,3,hcrd_gaussian_guided,0.01,4,0.25
0.0922298316094983,9,3,hcrd_adaptive_guided,0.01,4,0.2857142857142857
