noise_sigma,latent_index,method,mean_target_knot_f1,mean_baseline_mse,median_pairwise_knot_jaccard
0.03,4,hcrd_quadratic_guided,0.7142857142857143,0.06319892107471586,1.0
0.03,5,hcrd_raw,0.11132145595595846,0.8354223077559257,0.928
0.03,5,hcrd_robust,0.0,0.4681099344066938,1.0
0.03,5,hcrd_gaussian_guided,0.6128921568627451,0.03979987690888074,0.8333333333333334
0.03,5,hcrd_adaptive_guided,0.8,0.02814600705644618,1.0
0.03,5,hcrd_quadratic_guided,1.0,0.024474443843280597,1.0
0.03,6,hcrd_raw,0.10706520039542348,0.8164069122333298,0.9206349206349206
0.03,6,hcrd_robust,0.0,0.38578676621870983,1.0
0.03,6,hcrd_gaussian_guided,0.2875,0.14541214049751114,1.0
0.03,6,hcrd_adaptive_guided,0.3428571428571428,0.18724255429672534,1.0
0.03,6,hcrd_quadratic_guided,0.42857142857142855,0.14244218623164806,1.0
0.03,7,hcrd_raw,0.10908093978998261,0.8417320322593801,0.92
0.03,7,hcrd_robust,0.0,0.24562151594733952,1.0
0.03,7,hcrd_gaussian_guided,0.0875,0.13017639166412895,1.0
0.03,7,hcrd_adaptive_guided,0.14285714285714285,0.16835665285358195,1.0
0.03,7,hcrd_quadratic_guided,0.42857142857142855,0.12217764156458932,1.0
0.03,8,hcrd_raw,0.11031454623570916,0.973386412352433,0.9126984126984127
0.03,8,hcrd_robust,0.0,0.11393187177576822,1.0
0.03,8,hcrd_gaussian_guided,0.3377941176470588,0.11487389905085281,0.9166666666666666
0.03,8,hcrd_adaptive_guided,0.42857142857142855,0.13475132382488475,1.0
0.03,8,hcrd_quadratic_guided,0.7142857142857143,0.10461614992681134,1.0
0.03,9,hcrd_raw,0.1088929388286248,0.848212430407638,0.912
0.03,9,hcrd_robust,0.0,1.4076595290937273,1.0
0.03,9,hcrd_gaussian_guided,0.675,0.0514593221002002,1.0
0.03,9,hcrd_adaptive_guided,0.8285714285714285,0.03636510406385735,1.0
0.03,9,hcrd_quadratic_guided,0.8571428571428571,0.04252705146188128,1.0
0.03,10,hcrd_raw,0.11214693252403034,0.7708528499400071,0.9274193548387096
0.03,10,hcrd_robust,0.025,0.1737008053172502,1.0
0.03,10,hcrd_gaussian_guided,0.2610294117647059,0.0658597231265816,1.0
0.03,10,hcrd_adaptive_guided,0.2857142857142857,0.07098201034810356,1.0
0.03,10,hcrd_quadratic_guided,0.4714285714285714,0.061865838978938346,1.0
0.03,11,hcrd_raw,0.10938667965854468,0.8764701684019315,0.936
0.03,11,hcrd_robust,0.0,0.1836176475500586,1.0
0.03,11,hcrd_gaussian_guided,0.5647058823529412,0.07100484276785382,0.8333333333333334
0.03,11,hcrd_adaptive_guided,0.6285714285714286,0.05762417845716992,1.0
0.03,11,hcrd_quadratic_guided,0.8571428571428571,0.058321768369221684,1.0
0.03,12,hcrd_raw,0.10942356607811796,0.8890881716655386,0.9365079365079365
0.03,12,hcrd_robust,0.0,0.16414753324149028,1.0
0.03,12,hcrd_gaussian_guided,0.3625,0.07734836200989983,1.0
0.03,12,hcrd_adaptive_guided,0.5428571428571428,0.06577549430837247,1.0
0.03,12,hcrd_quadratic_guided,1.0,0.044304242376259614,1.0
0.03,13,hcrd_raw,0.10951300241218842,0.889430099358357,0.9285714285714286
0.03,13,hcrd_robust,0.0,0.334919183854198,1.0
0.03,13,hcrd_gaussian_guided,0.4375,0.09733631090590827,1.0
0.03,13,hcrd_adaptive_guided,0.4571428571428572,0.09960721248440937,1.0
0.03,13,hcrd_quadratic_guided,0.7142857142857143,0.07366286171491912,1.0
0.03,14,hcrd_raw,0.1082833338393036,0.779091022842463,0.928
0.03,14,hcrd_robust,0.0,0.7358358231132155,1.0
0.03,14,hcrd_gaussian_guided,0.6254901960784314,0.05413555915152222,0.8333333333333334
0.03,14,hcrd_adaptive_guided,0.8428571428571429,0.034968971858137785,1.0
0.03,14,hcrd_quadratic_guided,1.0,0.04351152586257602,1.0
0.03,15,hcrd_raw,0.10870524092228599,1.0267545219247383,0.9133858267716536
0.03,15,hcrd_robust,0.0,0.3158566580969461,1.0
0.03,15,hcrd_gaussian_guided,0.2972549019607843,0.10336103745157113,0.9166666666666666
0.03,15,hcrd_adaptive_guided,0.3571428571428571,0.10212641256997841,1.0
0.03,15,hcrd_quadratic_guided,0.7428571428571428,0.0767814410456675,1.0
0.03,16,hcrd_raw,0.1086472440944882,0.7002467888854331,0.928
0.03,16,hcrd_robust,0.0,0.09875577038425463,1.0
0.03,16,hcrd_gaussian_guided,0.5467156862745097,0.049053973716264646,0.8333333333333334
0.03,16,hcrd_adaptive_guided,0.7,0.0419639288879773,1.0
0.03,16,hcrd_quadratic_guided,0.8571428571428571,0.038306809840445905,1.0
0.03,17,hcrd_raw,0.10699041299983139,0.7342730663652492,0.9354838709677419
0.03,17,hcrd_robust,0.0,0.19239952075043484,1.0
0.03,17,hcrd_gaussian_guided,0.48249999999999993,0.060834624811192714,0.9090909090909091
0.03,17,hcrd_adaptive_guided,0.5428571428571429,0.06575536040257454,1.0
0.03,17,hcrd_quadratic_guided,0.5857142857142856,0.0563075565405563,1.0
0.03,18,hcrd_raw,0.10486924318530536,1.006974178261001,0.912
0.03,18,hcrd_robust,0.0,0.3807836819807028,1.0
0.03,18,hcrd_gaussian_guided,0.3516666666666667,0.16206493335481126,1.0
0.03,18,hcrd_adaptive_guided,0.41428571428571426,0.1759192905909575,1.0
0.03,18,hcrd_quadratic_guided,0.5714285714285714,0.15220178755484803,1.0
0.03,19,hcrd_raw,0.10657944619150098,0.7925768580071375,0.936
0.03,19,hcrd_robust,0.0,0.14028177359663166,1.0
0.03,19,hcrd_gaussian_guided,0.38,0.07213109311289947,1.0
0.03,19,hcrd_adaptive_guided,0.42857142857142855,0.06643232877128902,1.0
0.03,19,hcrd_quadratic_guided,1.0,0.05024653474658854,1.0
0.03,20,hcrd_raw,0.1075955186549262,0.9647366962924551,0.9285714285714286
0.03,20,hcrd_robust,0.0,0.4556682935408111,1.0
0.03,20,hcrd_gaussian_guided,0.39779411764705885,0.08157547140805513,1.0
0.03,20,hcrd_adaptive_guided,0.4257142857142857,0.08711045253051834,1.0
0.03,20,hcrd_quadratic_guided,0.5857142857142856,0.07690756722377265,1.0
0.03,21,hcrd_raw,0.11169535321544236,1.069898086023192,0.9133858267716536
0.03,21,hcrd_robust,0.0,0.20720610868486028,1.0
0.03,21,hcrd_gaussian_guided,0.4595588235294118,0.07525269762466166,1.0
0.03,21,hcrd_adaptive_guided,0.5714285714285714,0.06555911546943692,1.0
0.03,21,hcrd_quadratic_guided,0.7142857142857143,0.06939612480596749,1.0
0.03,22,hcrd_raw,0.10896924666478058,1.0551608526992962,0.92
0.03,22,hcrd_robust,0.0,0.6893396495589555,1.0
0.03,22,hcrd_gaussian_guided,0.475,0.10035462073671372,1.0
0.03,22,hcrd_adaptive_guided,0.5399999999999999,0.08966273855659043,1.0
0.03,22,hcrd_quadratic_guided,0.7142857142857143,0.09323781526516785,1.0
0.03,23,hcrd_raw,0.10930330358951301,0.7734733320206841,0.9180327868852459
0.03,23,hcrd_robust,0.0,0.1297096811431839,1.0
0.03,23,hcrd_gaussian_guided,0.33761437908496733,0.10527398936316675,0.9090909090909091
0.03,23,hcrd_adaptive_guided,0.41428571428571426,0.11492460669102704,1.0
0.03,23,hcrd_quadratic_guided,0.6285714285714284,0.09761466698615219,1.0
0.03,24,hcrd_raw,0.10782805730261211,0.5642159382618978,0.9354838709677419
0.03,24,hcrd_robust,0.0,0.7212350306871972,1.0
0.03,24,hcrd_gaussian_guided,0.46799019607843134,0.0436191772133504,0.8333333333333334
0.03,24,hcrd_adaptive_guided,0.5285714285714286,0.04109985187198135,1.0
0.03,24,hcrd_quadratic_guided,0.5714285714285714,0.037040251953490255,1.0
0.03,25,hcrd_raw,0.10906523407626763,0.908504112214664,0.9274193548387096
0.03,25,hcrd_robust,0.0,0.5958137431154766,1.0
0.03,25,hcrd_gaussian_guided,0.1610294117647059,0.12975486647210885,1.0
0.03,25,hcrd_adaptive_guided,0.14285714285714285,0.1198343334738294,1.0
0.03,25,hcrd_quadratic_guided,0.6571428571428571,0.10569502518990621,1.0
0.03,26,hcrd_raw,0.10748974162200957,0.46798877189893107,0.9365079365079365
0.03,26,hcrd_robust,0.0,0.2828669170393334,1.0
0.03,26,hcrd_gaussian_guided,0.23779411764705882,0.07051002454116008,0.7857142857142857
0.03,26,hcrd_adaptive_guided,0.21428571428571425,0.06666941731903506,1.0
0.03,26,hcrd_quadratic_guided,0.7142857142857143,0.05235430747338778,1.0
0.03,27,hcrd_raw,0.10772613911666518,0.6976977027253037,0.9212598425196851
0.03,27,hcrd_robust,0.0,0.07426771737642213,1.0
0.03,27,hcrd_gaussian_guided,0.3316176470588235,0.08244970722957956,0.9166666666666666
0.03,27,hcrd_adaptive_guided,0.3571428571428571,0.08427743497970548,1.0
0.03,27,hcrd_quadratic_guided,0.8285714285714285,0.06733353896115993,1.0
0.03,28,hcrd_raw,0.10808943699110782,0.9018245441543483,0.9133858267716536
0.03,28,hcrd_robust,0.0,0.17987338157840205,1.0
0.03,28,hcrd_gaussian_guided,0.18759803921568627,0.13276346745430723,0.8333333333333334
0.03,28,hcrd_adaptive_guided,0.22857142857142856,0.14171201651234924,1.0
0.03,28,hcrd_quadratic_guided,0.6142857142857142,0.1256306173555512,1.0
0.03,29,hcrd_raw,0.11010627863917848,0.6839865071681899,0.937007874015748
0.03,29,hcrd_robust,0.0,0.11303646025964331,1.0
0.03,29,hcrd_gaussian_guided,0.6168790849673202,0.05080936153797313,0.8333333333333334
0.03,29,hcrd_adaptive_guided,0.6857142857142857,0.027546091758227365,1.0
0.03,29,hcrd_quadratic_guided,0.8571428571428571,0.037891874446946625,1.0
0.05,0,hcrd_raw,0.10763984747501716,0.7406353625757043,0.9523809523809523
0.05,0,hcrd_robust,0.0,0.03450532499809348,1.0
0.05,0,hcrd_gaussian_guided,0.4067133520074696,0.09959020704965307,0.5263157894736842
0.05,0,hcrd_adaptive_guided,0.7142857142857143,0.054804055589136945,1.0
0.05,0,hcrd_quadratic_guided,0.7142857142857143,0.04213516131724121,1.0
0.05,1,hcrd_raw,0.1094740242167161,1.0066409613213723,0.9365079365079365
0.05,1,hcrd_robust,0.025,0.25822732696099676,1.0
0.05,1,hcrd_gaussian_guided,0.2883986928104575,0.1400348675319382,0.6666666666666666
0.05,1,hcrd_adaptive_guided,0.4714285714285714,0.11705558126506746,1.0
0.05,1,hcrd_quadratic_guided,0.6428571428571428,0.09047519907271422,1.0
0.05,2,hcrd_raw,0.10948653095085281,0.7815400237085759,0.9444444444444444
0.05,2,hcrd_robust,0.0,0.3016967115800878,1.0
0.05,2,hcrd_gaussian_guided,0.18174111749963143,0.1184474743845569,0.625
0.05,2,hcrd_adaptive_guided,0.3571428571428571,0.09088958599120442,1.0
0.05,2,hcrd_quadratic_guided,0.8571428571428571,0.06365644610966456,1.0
0.05,3,hcrd_raw,0.10737922745311304,0.7181209148606145,0.944
0.05,3,hcrd_robust,0.0,0.09380588988987093,1.0
0.05,3,hcrd_gaussian_guided,0.2532490540075679,0.13153205619846936,0.5294117647058824
0.05,3,hcrd_adaptive_guided,0.42857142857142855,0.1198145379140511,1.0
0.05,3,hcrd_quadratic_guided,0.5,0.08524418904744012,1.0
0.05,4,hcrd_raw,0.10904905282311876,1.028298899022323,0.96
0.05,4,hcrd_robust,0.0,0.06895491763280925,1.0
0.05,4,hcrd_gaussian_guided,0.5146542827657379,0.12848223514321463,0.6666666666666666
0.05,4,hcrd_adaptive_guided,0.5714285714285714,0.07306056429554227,1.0
0.05,4,hcrd_quadratic_guided,0.7142857142857143,0.06324384955151832,1.0
0.05,5,hcrd_raw,0.10956072550971381,0.8380609944558917,0.944
0.05,5,hcrd_robust,0.0,0.5269409463062217,1.0
0.05,5,hcrd_gaussian_guided,0.5132543368224483,0.08661290401705987,0.5294117647058824
0.05,5,hcrd_adaptive_guided,0.8,0.030126142614490876,1.0
0.05,5,hcrd_quadratic_guided,1.0,0.024193953689279395,1.0
0.05,6,hcrd_raw,0.10747077966998311,0.8221722708337346,0.9435483870967742
0.05,6,hcrd_robust,0.0,0.39573279536585737,1.0
0.05,6,hcrd_gaussian_guided,0.222648253878904,0.16665922694381038,0.6
0.05,6,hcrd_adaptive_guided,0.3857142857142856,0.19766724130111016,1.0
0.05,6,hcrd_quadratic_guided,0.42857142857142855,0.1459320579700296,1.0
0.05,7,hcrd_raw,0.10948392412107147,0.8441868275932679,0.9523809523809523
0.05,7,hcrd_robust,0.0,0.16572258975653936,1.0
0.05,7,hcrd_gaussian_guided,0.07567448031844318,0.14615048722339408,0.625
0.05,7,hcrd_adaptive_guided,0.14285714285714285,0.16101287336611664,1.0
0.05,7,hcrd_quadratic_guided,0.42857142857142855,0.11932119451145826,1.0
0.05,8,hcrd_raw,0.10893453776421302,0.9738932275971424,0.9256198347107438
0.05,8,hcrd_robust,0.0,0.11738664420357822,1.0
0.05,8,hcrd_gaussian_guided,0.3080065359477124,0.13290069938973484,0.6666666666666666
0.05,8,hcrd_adaptive_guided,0.5,0.13666535784914413,1.0
0.05,8,hcrd_quadratic_guided,0.7142857142857143,0.10365393531208615,1.0
0.05,9,hcrd_raw,0.11035299381539374,0.8472914323249334,0.9444444444444444
0.05,9,hcrd_robust,0.0,1.2598548143130823,1.0
0.05,9,hcrd_gaussian_guided,0.561437908496732,0.09302047491543709,0.5625
0.05,9,hcrd_adaptive_guided,0.8285714285714285,0.04545727104163195,1.0
0.05,9,hcrd_quadratic_guided,0.8571428571428571,0.04299213664946465,1.0
0.05,10,hcrd_raw,0.10955926308071062,0.7740985156425013,0.9516129032258065
0.05,10,hcrd_robust,0.0,0.1981345154085858,1.0
0.05,10,hcrd_gaussian_guided,0.27948541138943617,0.10829592453925063,0.5625
