noise_sigma,trial,signal_seed,method,parameter,baseline_mse,if_reconstruction_error,if_seconds
0.1,13,20281215,hcrd_centered,none,0.4256605929422879,8.881784197001252e-16,0.014832900022156537
0.1,13,20281215,hcrd_thresholded,z=3.5,0.005442921283842869,8.881784197001252e-16,0.014832900022156537
0.1,13,20281215,if_final,tail=1,0.055094943133549304,8.881784197001252e-16,0.014832900022156537
0.1,13,20281215,if_oracle_tail,tail=1,0.055094943133549304,8.881784197001252e-16,0.014832900022156537
0.1,14,20281216,hcrd_centered,none,0.7402827096453516,8.881784197001252e-16,0.018995899939909577
0.1,14,20281216,hcrd_thresholded,z=3.5,0.009710448905031518,8.881784197001252e-16,0.018995899939909577
0.1,14,20281216,if_final,tail=1,0.08404557691290283,8.881784197001252e-16,0.018995899939909577
0.1,14,20281216,if_oracle_tail,tail=1,0.08404557691290283,8.881784197001252e-16,0.018995899939909577
0.1,15,20281217,hcrd_centered,none,0.6473222075252539,8.881784197001252e-16,0.029039900051429868
0.1,15,20281217,hcrd_thresholded,z=3.5,0.0013876455825995464,8.881784197001252e-16,0.029039900051429868
0.1,15,20281217,if_final,tail=1,0.13045095484761018,8.881784197001252e-16,0.029039900051429868
0.1,15,20281217,if_oracle_tail,tail=1,0.13045095484761018,8.881784197001252e-16,0.029039900051429868
0.1,16,20281218,hcrd_centered,none,0.8800329535963113,6.661338147750939e-16,0.020940400077961385
0.1,16,20281218,hcrd_thresholded,z=3.5,0.00631792461405531,6.661338147750939e-16,0.020940400077961385
0.1,16,20281218,if_final,tail=1,0.15412120860011558,6.661338147750939e-16,0.020940400077961385
0.1,16,20281218,if_oracle_tail,tail=1,0.15412120860011558,6.661338147750939e-16,0.020940400077961385
0.1,17,20281219,hcrd_centered,none,0.8269952840907752,8.881784197001252e-16,0.023500900017097592
0.1,17,20281219,hcrd_thresholded,z=3.5,0.004807477159689555,8.881784197001252e-16,0.023500900017097592
0.1,17,20281219,if_final,tail=1,0.15405812578761396,8.881784197001252e-16,0.023500900017097592
0.1,17,20281219,if_oracle_tail,tail=1,0.15405812578761396,8.881784197001252e-16,0.023500900017097592
0.1,18,20281220,hcrd_centered,none,0.8923942011549388,8.881784197001252e-16,0.0203038000036031
0.1,18,20281220,hcrd_thresholded,z=3.5,0.002861073581838376,8.881784197001252e-16,0.0203038000036031
0.1,18,20281220,if_final,tail=1,0.16351091348176017,8.881784197001252e-16,0.0203038000036031
0.1,18,20281220,if_oracle_tail,tail=1,0.16351091348176017,8.881784197001252e-16,0.0203038000036031
0.1,19,20281221,hcrd_centered,none,0.6069850603860513,4.440892098500626e-16,0.016505899955518544
0.1,19,20281221,hcrd_thresholded,z=3.5,0.02078514302068771,4.440892098500626e-16,0.016505899955518544
0.1,19,20281221,if_final,tail=1,0.10978353494157948,4.440892098500626e-16,0.016505899955518544
0.1,19,20281221,if_oracle_tail,tail=1,0.10978353494157948,4.440892098500626e-16,0.016505899955518544
0.1,20,20281222,hcrd_centered,none,0.9217500717565581,1.3322676295501878e-15,0.024105899967253208
0.1,20,20281222,hcrd_thresholded,z=3.5,0.0018943481405200569,1.3322676295501878e-15,0.024105899967253208
0.1,20,20281222,if_final,tail=1,0.175881140044819,1.3322676295501878e-15,0.024105899967253208
0.1,20,20281222,if_oracle_tail,tail=1,0.175881140044819,1.3322676295501878e-15,0.024105899967253208
0.1,21,20281223,hcrd_centered,none,0.8696298811480422,4.440892098500626e-16,0.017138099996373057
0.1,21,20281223,hcrd_thresholded,z=3.5,0.006039851074342977,4.440892098500626e-16,0.017138099996373057
0.1,21,20281223,if_final,tail=1,0.10920541473870365,4.440892098500626e-16,0.017138099996373057
0.1,21,20281223,if_oracle_tail,tail=1,0.10920541473870365,4.440892098500626e-16,0.017138099996373057
0.1,22,20281224,hcrd_centered,none,0.8180829761506885,4.440892098500626e-16,0.01567220001015812
0.1,22,20281224,hcrd_thresholded,z=3.5,0.004324758508880096,4.440892098500626e-16,0.01567220001015812
0.1,22,20281224,if_final,tail=1,0.09962920574136384,4.440892098500626e-16,0.01567220001015812
0.1,22,20281224,if_oracle_tail,tail=1,0.09962920574136384,4.440892098500626e-16,0.01567220001015812
0.1,23,20281225,hcrd_centered,none,1.003501695643016,4.440892098500626e-16,0.013829799951054156
0.1,23,20281225,hcrd_thresholded,z=3.5,0.010019636883367062,4.440892098500626e-16,0.013829799951054156
0.1,23,20281225,if_final,tail=1,0.12112552723299802,4.440892098500626e-16,0.013829799951054156
0.1,23,20281225,if_oracle_tail,tail=1,0.12112552723299802,4.440892098500626e-16,0.013829799951054156
0.1,24,20281226,hcrd_centered,none,1.0729873920910935,4.440892098500626e-16,0.02021360001526773
0.1,24,20281226,hcrd_thresholded,z=3.5,0.004717985650740331,4.440892098500626e-16,0.02021360001526773
0.1,24,20281226,if_final,tail=1,0.4138261865879429,4.440892098500626e-16,0.02021360001526773
0.1,24,20281226,if_oracle_tail,tail=1,0.4138261865879429,4.440892098500626e-16,0.02021360001526773
0.1,25,20281227,hcrd_centered,none,0.9748167692037877,1.7763568394002505e-15,0.02117949991952628
0.1,25,20281227,hcrd_thresholded,z=3.5,0.004781095629674321,1.7763568394002505e-15,0.02117949991952628
0.1,25,20281227,if_final,tail=1,0.3254439560208457,1.7763568394002505e-15,0.02117949991952628
0.1,25,20281227,if_oracle_tail,tail=1,0.3254439560208457,1.7763568394002505e-15,0.02117949991952628
0.1,26,20281228,hcrd_centered,none,0.6572525398288938,4.440892098500626e-16,0.019824399962089956
0.1,26,20281228,hcrd_thresholded,z=3.5,0.00027542985118559086,4.440892098500626e-16,0.019824399962089956
0.1,26,20281228,if_final,tail=1,0.11913534880532085,4.440892098500626e-16,0.019824399962089956
0.1,26,20281228,if_oracle_tail,tail=1,0.11913534880532085,4.440892098500626e-16,0.019824399962089956
0.1,27,20281229,hcrd_centered,none,0.44946414872154317,2.220446049250313e-16,0.01950529997702688
0.1,27,20281229,hcrd_thresholded,z=3.5,0.0025389864846546957,2.220446049250313e-16,0.01950529997702688
0.1,27,20281229,if_final,tail=1,0.05135248895976661,2.220446049250313e-16,0.01950529997702688
0.1,27,20281229,if_oracle_tail,tail=1,0.05135248895976661,2.220446049250313e-16,0.01950529997702688
0.1,28,20281230,hcrd_centered,none,0.7096312456409273,8.881784197001252e-16,0.02679769997484982
0.1,28,20281230,hcrd_thresholded,z=3.5,0.004699072522476225,8.881784197001252e-16,0.02679769997484982
0.1,28,20281230,if_final,tail=1,0.13410046541596835,8.881784197001252e-16,0.02679769997484982
0.1,28,20281230,if_oracle_tail,tail=1,0.13410046541596835,8.881784197001252e-16,0.02679769997484982
0.1,29,20281231,hcrd_centered,none,0.7551576100829297,4.440892098500626e-16,0.01809939998202026
0.1,29,20281231,hcrd_thresholded,z=3.5,0.007938770175321522,4.440892098500626e-16,0.01809939998202026
0.1,29,20281231,if_final,tail=1,0.12653572942848765,4.440892098500626e-16,0.01809939998202026
0.1,29,20281231,if_oracle_tail,tail=1,0.12653572942848765,4.440892098500626e-16,0.01809939998202026
0.1,30,20281232,hcrd_centered,none,0.45020889696277755,2.220446049250313e-16,0.013029500027187169
0.1,30,20281232,hcrd_thresholded,z=3.5,0.021335506575560225,2.220446049250313e-16,0.013029500027187169
