noise_sigma,ratio,regularization,latent_index,repetition,baseline_mse,guide_mse,target_knot_f1,knot_count
0.01,3.0,0.03,0,0,0.5365333762504357,0.9170488901896502,0.0,9
0.01,3.0,0.03,0,1,0.3934048830782108,0.9177559255190625,0.0,9
0.01,3.0,0.03,0,2,0.5045311856306329,0.9179384496442298,0.0,9
0.01,3.0,0.03,0,3,0.38255976235238137,0.9176006662051639,0.0,9
0.01,3.0,0.03,0,4,0.4217439943417778,0.9166328182825091,0.0,9
0.01,3.0,0.03,1,0,0.7546031049382061,0.703139571934552,0.0,9
0.01,3.0,0.03,1,1,0.5371176561553315,0.7009761684048282,0.0,9
0.01,3.0,0.03,1,2,0.22634755594148867,0.705913306461817,0.0,9
0.01,3.0,0.03,1,3,0.5702902066161635,0.7046295636876159,0.0,9
0.01,3.0,0.03,1,4,0.46320508732539284,0.7044153579088295,0.0,9
0.01,3.0,0.03,2,0,0.4256779847230057,0.8491009421444665,0.0,9
0.01,3.0,0.03,2,1,0.3437951804979505,0.8484529797457057,0.0,9
0.01,3.0,0.03,2,2,0.3374332845646951,0.8462200504673015,0.0,9
0.01,3.0,0.03,2,3,0.537322913012103,0.8479980025698983,0.0,9
0.01,3.0,0.03,2,4,0.41089456962543475,0.847592400199962,0.0,9
0.01,3.0,0.03,3,0,0.5568429301112748,0.6639513033024458,0.0,9
0.01,3.0,0.03,3,1,0.36464648350847195,0.6666930460656505,0.0,9
0.01,3.0,0.03,3,2,0.31402364567589575,0.6680008681086647,0.0,9
0.01,3.0,0.03,3,3,0.4761252424184655,0.6663823274617604,0.0,9
0.01,3.0,0.03,3,4,0.411093300167676,0.6661329830822742,0.0,9
0.01,3.0,0.03,4,0,0.5952409804238081,0.9509784774509172,0.0,9
0.01,3.0,0.03,4,1,0.8658566254716318,0.9506189239858096,0.0,9
0.01,3.0,0.03,4,2,0.5784538077797718,0.9502206836866248,0.0,9
0.01,3.0,0.03,4,3,0.09113977843457391,0.9499727733601407,0.0,9
0.01,3.0,0.03,4,4,0.3401785217760558,0.9492365277957777,0.0,9
0.01,3.0,0.03,5,0,0.25595946504354133,0.7716329303527176,0.0,9
0.01,3.0,0.03,5,1,0.309662255733442,0.7741142937576879,0.0,9
0.01,3.0,0.03,5,2,0.5150687910172597,0.771090290357426,0.0,9
0.01,3.0,0.03,5,3,0.2956864344887738,0.7704839063737343,0.0,9
0.01,3.0,0.03,5,4,0.37138385157315246,0.7724971367524694,0.0,9
0.01,3.0,0.03,6,0,0.603796079780837,0.7791047148407957,0.0,9
0.01,3.0,0.03,6,1,0.6334611905408647,0.7801317708524175,0.0,9
0.01,3.0,0.03,6,2,0.6323991458833744,0.779349214349438,0.0,9
0.01,3.0,0.03,6,3,0.8142918091418647,0.7793811079390492,0.0,9
0.01,3.0,0.03,6,4,0.26154054636805846,0.7797284879801595,0.0,9
0.01,3.0,0.03,7,0,0.13052703537151616,0.7478610728976686,0.0,9
0.01,3.0,0.03,7,1,0.499704974486423,0.7487687145166054,0.0,9
0.01,3.0,0.03,7,2,0.20700926674869946,0.7500651924678385,0.0,9
0.01,3.0,0.03,7,3,0.19341480103537934,0.7481733481339844,0.0,9
0.01,3.0,0.03,7,4,0.3645649808509686,0.7478314522303356,0.0,9
0.01,10.0,0.1,0,0,0.9197344515112628,0.8842571177383448,0.0,9
0.01,10.0,0.1,0,1,0.8369725392264317,0.8849359054324645,0.0,9
0.01,10.0,0.1,0,2,0.522250578070806,0.885121015201687,0.0,9
0.01,10.0,0.1,0,3,0.3339054604621996,0.8848345052112883,0.0,9
0.01,10.0,0.1,0,4,0.7690166036837687,0.8839251500509169,0.0,9
0.01,10.0,0.1,1,0,0.277639014705306,0.6745431411683787,0.0,9
0.01,10.0,0.1,1,1,0.49192646672511153,0.6724824311652782,0.0,9
0.01,10.0,0.1,1,2,0.33748600779493515,0.6773785384198587,0.0,9
0.01,10.0,0.1,1,3,0.7062011940324365,0.6759732454793181,0.0,9
0.01,10.0,0.1,1,4,1.002274462030531,0.6757959489961273,0.0,9
0.01,10.0,0.1,2,0,0.6242436642968358,0.8178526930037328,0.0,9
0.01,10.0,0.1,2,1,0.7479224159647,0.8171597820714604,0.0,9
0.01,10.0,0.1,2,2,0.4765253982549575,0.8150315451236817,0.0,9
0.01,10.0,0.1,2,3,0.6905455968378762,0.8167135267020948,0.0,9
0.01,10.0,0.1,2,4,0.5936591682152675,0.8162979711997762,0.0,9
0.01,10.0,0.1,3,0,0.40036184658022456,0.6364947946281868,0.0,9
0.01,10.0,0.1,3,1,0.5602833186824772,0.6392176154023598,0.0,9
0.01,10.0,0.1,3,2,0.49649700564021826,0.6405651619912329,0.0,9
0.01,10.0,0.1,3,3,0.2958045964398649,0.6389779627337937,0.0,9
0.01,10.0,0.1,3,4,0.3818281362102569,0.6386537484323327,0.0,9
0.01,10.0,0.1,4,0,0.28152031099317376,0.9169994673575029,0.0,9
0.01,10.0,0.1,4,1,0.9642172908860588,0.9166983032380307,0.0,9
0.01,10.0,0.1,4,2,0.8371177625626032,0.916177618073835,0.0,9
0.01,10.0,0.1,4,3,0.37260962634166495,0.9159003405306737,0.0,9
0.01,10.0,0.1,4,4,0.9696391203968565,0.9152474247276368,0.0,9
0.01,10.0,0.1,5,0,0.7107796635889158,0.7416431218381793,0.0,9
0.01,10.0,0.1,5,1,0.4124641915954667,0.7440762076423498,0.0,9
0.01,10.0,0.1,5,2,0.5691630911909248,0.7411484796002097,0.0,9
0.01,10.0,0.1,5,3,0.29713656183991843,0.7406321818661097,0.0,9
0.01,10.0,0.1,5,4,0.6209337706611682,0.7425352851924331,0.0,9
0.01,10.0,0.1,6,0,0.43562258113125124,0.7484650708606883,0.0,9
0.01,10.0,0.1,6,1,1.09727919780918,0.7495330068217565,0.0,9
0.01,10.0,0.1,6,2,0.5291167164037709,0.7487298015596553,0.0,9
0.01,10.0,0.1,6,3,0.219725854627378,0.748704335621206,0.0,9
0.01,10.0,0.1,6,4,0.5836546912822503,0.7491255429399929,0.0,9
0.01,10.0,0.1,7,0,0.4386788607840797,0.7186236851663818,0.0,9
0.01,10.0,0.1,7,1,0.3207257236466207,0.7194523846324339,0.0,9
0.01,10.0,0.1,7,2,0.4172733998989791,0.7206534926491606,0.0,9
0.01,10.0,0.1,7,3,0.47286624546980904,0.7188685728142956,0.0,9
0.01,10.0,0.1,7,4,0.544362043144478,0.7185174924945681,0.0,9
0.01,30.0,0.3,0,0,0.9707321930656921,0.8035683231267226,0.0,9
0.01,30.0,0.3,0,1,1.0038180949334343,0.8042696691850798,0.0,9
0.01,30.0,0.3,0,2,0.9305668848040379,0.8043350614020405,0.0,9
0.01,30.0,0.3,0,3,1.6163203636466648,0.8040954190700366,0.0,9
0.01,30.0,0.3,0,4,0.3963012072631901,0.803453545490389,0.0,9
0.01,30.0,0.3,1,0,0.419156910415314,0.6047923503432935,0.0,9
0.01,30.0,0.3,1,1,0.7180057370799946,0.6028888216029901,0.0,9
0.01,30.0,0.3,1,2,0.5378769633194767,0.6075846399635557,0.0,9
0.01,30.0,0.3,1,3,0.4603910689638558,0.606048635433945,0.0,9
0.01,30.0,0.3,1,4,0.4472865954259804,0.6059916416299237,0.0,9
0.01,30.0,0.3,2,0,0.5668875061070744,0.740749285440506,0.0,9
0.01,30.0,0.3,2,1,0.6509029401369817,0.740194669041093,0.0,9
0.01,30.0,0.3,2,2,0.6128177622142589,0.7380841062643642,0.0,9
0.01,30.0,0.3,2,3,0.6075768731377124,0.7396908882841469,0.0,9
0.01,30.0,0.3,2,4,0.6546059898586614,0.7392577329564741,0.0,9
0.01,30.0,0.3,3,0,0.4185723579892213,0.5696235200071068,0.0,9
0.01,30.0,0.3,3,1,0.8251526917839168,0.5721162983017347,0.0,9
0.01,30.0,0.3,3,2,0.4626308529306895,0.5735488779770054,0.0,9
0.01,30.0,0.3,3,3,0.4346731557070801,0.5720977489123142,0.0,9
0.01,30.0,0.3,3,4,0.5668968094252317,0.5715727865128489,0.0,9
0.01,30.0,0.3,4,0,1.3177438917604638,0.8342452868406096,0.0,9
0.01,30.0,0.3,4,1,0.7506596380217773,0.8340477105173593,0.0,9
0.01,30.0,0.3,4,2,0.4021406087812395,0.8334225494131934,0.0,9
0.01,30.0,0.3,4,3,0.7867173564002848,0.8331522842619442,0.0,9
0.01,30.0,0.3,4,4,0.9221376193889713,0.8326312970119127,0.0,9
0.01,30.0,0.3,5,0,0.9208127048637456,0.6677197906912745,0.0,9
0.01,30.0,0.3,5,1,0.9856863194654646,0.6702175279373903,0.0,9
0.01,30.0,0.3,5,2,0.35646177752055574,0.6674124449330561,0.0,9
0.01,30.0,0.3,5,3,0.8219829175720149,0.666944263853671,0.0,9
