noise_sigma,ratio,regularization,latent_index,first_repetition,second_repetition,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,0.3,0.003,4,1,3,0.38461538461538464,0.7269879884771611,31.720931898943586
0.01,0.3,0.003,4,1,4,0.5,0.7182591850871418,32.567655834841155
0.01,0.3,0.003,4,2,3,0.38461538461538464,0.6694176016461055,29.87376840477893
0.01,0.3,0.003,4,2,4,0.2857142857142857,0.6940578860691816,41.6518507482418
0.01,0.3,0.003,4,3,4,0.8,0.677773753551946,16.556831252895787
0.01,0.3,0.003,5,0,1,0.5,0.6928048164833805,25.956837158878383
0.01,0.3,0.003,5,0,2,0.38461538461538464,0.7193123884538302,34.166547026795506
0.01,0.3,0.003,5,0,3,0.2857142857142857,0.6449220365669831,40.99982558163898
0.01,0.3,0.003,5,0,4,0.5,0.6704881044060053,31.22033701555714
0.01,0.3,0.003,5,1,2,0.5,0.6743560549812548,24.595284434222826
0.01,0.3,0.003,5,1,3,0.38461538461538464,0.6884912168697627,32.846443903717514
0.01,0.3,0.003,5,1,4,0.38461538461538464,0.6198874004283517,28.839115931120524
0.01,0.3,0.003,5,2,3,0.2857142857142857,0.6752244717212402,35.12887397440627
0.01,0.3,0.003,5,2,4,0.125,0.6307928644058359,42.599259835976945
0.01,0.3,0.003,5,3,4,0.6363636363636364,0.6480904512737696,21.808846134852168
0.01,0.3,0.003,6,0,1,0.5,0.6989566932424951,28.689937224460834
0.01,0.3,0.003,6,0,2,0.38461538461538464,0.68135481094982,35.08416319836347
0.01,0.3,0.003,6,0,3,0.6363636363636364,0.7283930099301944,22.139162710385396
0.01,0.3,0.003,6,0,4,0.8,0.7204298893845688,15.474910658050343
0.01,0.3,0.003,6,1,2,0.6363636363636364,0.6884828022398504,17.666520941023798
0.01,0.3,0.003,6,1,3,0.2857142857142857,0.6888114312983262,31.828596399631277
0.01,0.3,0.003,6,1,4,0.6363636363636364,0.7070780811934309,22.69290844833955
0.01,0.3,0.003,6,2,3,0.38461538461538464,0.6525373528399705,35.31705234550385
0.01,0.3,0.003,6,2,4,0.5,0.6703165406488749,29.83974863719482
0.01,0.3,0.003,6,3,4,0.5,0.7301592273954314,23.08797526935581
0.01,0.3,0.003,7,0,1,0.2857142857142857,0.7181173990910003,37.44682071965279
0.01,0.3,0.003,7,0,2,0.38461538461538464,0.6502435383614509,28.99987631120142
0.01,0.3,0.003,7,0,3,0.6363636363636364,0.6996514793182966,23.23950303481154
0.01,0.3,0.003,7,0,4,0.38461538461538464,0.6710639605741116,29.317057186385473
0.01,0.3,0.003,7,1,2,0.5,0.6598552747475439,27.8126366175559
0.01,0.3,0.003,7,1,3,0.2857142857142857,0.6944840951493353,41.38559638334298
0.01,0.3,0.003,7,1,4,0.5,0.7027516052225086,34.88385052457673
0.01,0.3,0.003,7,2,3,0.38461538461538464,0.6863119242708595,35.343110711678264
0.01,0.3,0.003,7,2,4,0.38461538461538464,0.655990102068162,33.18137229738983
0.01,0.3,0.003,7,3,4,0.6363636363636364,0.652034965548688,19.20300562983104
0.01,1.0,0.01,0,0,1,0.6363636363636364,0.6578288836450299,40.2930648984795
0.01,1.0,0.01,0,0,2,0.5,0.6550212835484204,36.62490820197085
0.01,1.0,0.01,0,0,3,0.6363636363636364,0.7725259050185824,41.213446017809346
0.01,1.0,0.01,0,0,4,0.5,0.6594563129510271,45.21647533147162
0.01,1.0,0.01,0,1,2,0.5,0.6526545660731617,48.39293619060958
0.01,1.0,0.01,0,1,3,0.6363636363636364,0.6726305311658266,32.1021660934569
0.01,1.0,0.01,0,1,4,0.8,0.6660328399155064,29.769714254346923
0.01,1.0,0.01,0,2,3,0.5,0.5944443505044206,45.06964773179214
0.01,1.0,0.01,0,2,4,0.5,0.631545303359222,33.69049039910193
0.01,1.0,0.01,0,3,4,0.5,0.692852310237153,35.35152549977873
0.01,1.0,0.01,1,0,1,0.8,0.6162500381847517,16.67617204760823
0.01,1.0,0.01,1,0,2,0.6363636363636364,0.6887332920255691,31.749756370663683
