record,method,beats,failure_rate,mean_joint_absolute_error_ms,mean_successful_onset_absolute_error_ms,mean_successful_offset_absolute_error_ms,mean_successful_duration_absolute_error_ms
sel33,neurokit_dwt_ch1,30,0.0,30.8,54.13333333333333,7.466666666666667,59.2
sele0170,neurokit_dwt_ch0,30,0.0,52.6,84.8,20.4,105.2
sele0170,neurokit_dwt_ch1,30,0.1333333333333333,90.4,101.07692307692308,58.30769230769231,159.3846153846154
sele0110,neurokit_dwt_ch0,30,0.0,40.0,70.93333333333334,9.066666666666666,80.0
sele0110,neurokit_dwt_ch1,30,0.09999999999999998,49.8,68.14814814814815,6.962962962962963,74.81481481481481
sel39,neurokit_dwt_ch0,30,0.0,68.26666666666667,60.0,76.53333333333333,22.4
sel39,neurokit_dwt_ch1,30,0.0,62.46666666666667,58.266666666666666,66.66666666666667,22.533333333333335
sel872,neurokit_dwt_ch0,30,0.0,66.13333333333334,123.33333333333333,8.933333333333334,131.2
sel872,neurokit_dwt_ch1,30,0.0,66.26666666666667,119.86666666666666,12.666666666666666,132.0
sel883,neurokit_dwt_ch0,30,1.0,160.0,,,
sel883,neurokit_dwt_ch1,30,1.0,160.0,,,
sel306,neurokit_dwt_ch0,36,0.9166666666666666,150.11111111111111,68.0,14.666666666666666,74.66666666666667
sel306,neurokit_dwt_ch1,36,0.8333333333333334,145.27777777777777,138.0,5.333333333333333,140.66666666666666
sel16273,neurokit_dwt_ch0,30,0.0,24.6,4.266666666666667,44.93333333333333,44.4
sel16273,neurokit_dwt_ch1,30,0.0,42.333333333333336,78.66666666666667,6.0,80.4
sel116,neurokit_dwt_ch0,50,0.0,35.8,64.24,7.36,68.4
sel116,neurokit_dwt_ch1,50,1.0,160.0,,,
sel223,neurokit_dwt_ch0,31,0.5806451612903225,116.83870967741936,91.6923076923077,22.46153846153846,106.76923076923077
sel223,neurokit_dwt_ch1,31,0.9032258064516129,150.38709677419354,84.0,37.333333333333336,121.33333333333333
sel103,neurokit_dwt_ch0,30,0.0,7.333333333333333,8.0,6.666666666666667,10.666666666666666
sel103,neurokit_dwt_ch1,30,0.033333333333333326,71.6,128.41379310344828,8.689655172413794,133.51724137931035
sel308,neurokit_dwt_ch0,50,0.42000000000000004,93.92,73.10344827586206,19.03448275862069,72.27586206896552
sel308,neurokit_dwt_ch1,50,0.92,150.0,20.0,50.0,30.0
sele0704,neurokit_dwt_ch0,30,0.0,16.6,23.066666666666666,10.133333333333333,28.666666666666668
sele0704,neurokit_dwt_ch1,30,0.1333333333333333,46.733333333333334,11.384615384615385,47.23076923076923,53.07692307692308
sel100,neurokit_dwt_ch0,30,0.19999999999999996,40.06666666666667,3.6666666666666665,16.5,15.166666666666666
sel100,neurokit_dwt_ch1,30,0.43333333333333335,75.46666666666667,7.0588235294117645,14.588235294117647,21.176470588235293
sel44,neurokit_dwt_ch0,30,0.7333333333333334,120.06666666666666,5.5,15.0,18.5
sel44,neurokit_dwt_ch1,30,0.6333333333333333,106.6,4.7272727272727275,24.0,25.09090909090909
sel301,neurokit_dwt_ch0,30,0.0,41.6,76.93333333333334,6.266666666666667,82.13333333333334
sel301,neurokit_dwt_ch1,30,0.6,113.66666666666667,52.0,36.333333333333336,88.33333333333333
sel40,neurokit_dwt_ch0,30,1.0,160.0,,,
sel40,neurokit_dwt_ch1,30,1.0,160.0,,,
sele0210,neurokit_dwt_ch0,30,0.0,16.733333333333334,13.866666666666667,19.6,32.666666666666664
sele0210,neurokit_dwt_ch1,30,0.0,34.666666666666664,12.8,56.53333333333333,68.0
sele0129,neurokit_dwt_ch0,30,0.0,65.73333333333333,108.26666666666667,23.2,113.06666666666666
sele0129,neurokit_dwt_ch1,30,0.0,58.2,112.0,4.4,113.73333333333333
