cell,signal,design,variance_profile,n,trial,method,kappa,target_left,target_right,confidence_left,confidence_right,confidence_width,covers_target,empty,joint_contrast_coverage,unexplained_empty,scale_upper,scale_ratio_to_true_max,scale_covers
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,51,oracle_variances,1.0,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,51,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,False,True,False,0.12462935955170641,1.246293595517064,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,52,oracle_variances,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,52,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.11701533415687043,1.1701533415687042,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,53,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.33532934131736525,0.09381237524950098,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,53,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4471057884231537,0.2375249500998004,True,False,True,False,0.11383907167204367,1.1383907167204366,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,54,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.38323353293413176,0.1417165668662675,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,54,unknown_heteroskedastic,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.11204699662989183,1.1204699662989182,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,55,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,55,unknown_heteroskedastic,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.11180444505216056,1.1180444505216054,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,56,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.4151696606786427,0.17365269461077842,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,56,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.11645387463884642,1.1645387463884642,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,57,oracle_variances,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,57,unknown_heteroskedastic,1.0,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,False,True,False,0.11952830042754396,1.1952830042754397,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,58,oracle_variances,1.0,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,58,unknown_heteroskedastic,1.0,0.3,0.3,0.22554890219560877,0.4151696606786427,0.18962075848303392,True,False,True,False,0.11371013299139607,1.1371013299139605,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,59,oracle_variances,1.0,0.3,0.3,0.249500998003992,0.4151696606786427,0.1656686626746507,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,59,unknown_heteroskedastic,1.0,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,False,True,False,0.11996559107901017,1.1996559107901017,True
paper_f1_cusp__uniform__constant__n500,paper_f1_cusp,uniform,constant,500,60,oracle_variances,1.0,0.3,0.3,0.24151696606786427,0.38323353293413176,0.1417165668662675,True,False,True,False,0.1,1.0,True
