cell,signal,design,variance_profile,n,method,kappa,coverage,mean_width,median_width,empty_count,unexplained_empty_count,joint_contrast_coverage,scale_coverage,mean_scale_ratio_to_true_max
paper_f4_logistic__uniform__plume_peak__n1000,paper_f4_logistic,uniform,plume_peak,1000,oracle_variances,3.590647857754493,0.975,0.9796253746253746,1.0,0,0,0.96,1.0,1.0
paper_f4_logistic__uniform__plume_peak__n1000,paper_f4_logistic,uniform,plume_peak,1000,unknown_heteroskedastic,3.590647857754493,1.0,1.0,1.0,0,0,1.0,1.0,1.2514102551453603
paper_f1_cusp__beta_4_8__constant__n1000,paper_f1_cusp,beta_4_8,constant,1000,oracle_variances,1.0,0.98,0.06947379211213091,0.07117608785083024,3,0,0.97,1.0,1.0
paper_f1_cusp__beta_4_8__constant__n1000,paper_f1_cusp,beta_4_8,constant,1000,unknown_heteroskedastic,1.0,0.995,0.07732943149084238,0.07679194269831452,0,0,0.99,0.995,1.1092619036769156
paper_f1_cusp__beta_4_8__linear__n1000,paper_f1_cusp,beta_4_8,linear,1000,oracle_variances,1.701658018061236,0.985,0.06877312106131368,0.07117608785083024,3,0,0.97,1.0,1.0
paper_f1_cusp__beta_4_8__linear__n1000,paper_f1_cusp,beta_4_8,linear,1000,unknown_heteroskedastic,1.701658018061236,1.0,0.11130235993797565,0.11195223461352904,0,0,1.0,1.0,1.1543687952771253
paper_f1_cusp__beta_4_8__plume_peak__n1000,paper_f1_cusp,beta_4_8,plume_peak,1000,oracle_variances,4.3808591953222535,0.98,0.044046585348026114,0.04277064799916111,4,0,0.96,1.0,1.0
paper_f1_cusp__beta_4_8__plume_peak__n1000,paper_f1_cusp,beta_4_8,plume_peak,1000,unknown_heteroskedastic,4.3808591953222535,1.0,0.24590245498722585,0.2489266816286979,0,0,1.0,1.0,1.294073664109963
paper_f2_onset__beta_4_8__constant__n1000,paper_f2_onset,beta_4_8,constant,1000,oracle_variances,1.0,0.975,0.7436844520466923,0.7610542889260773,1,0,0.93,1.0,1.0
paper_f2_onset__beta_4_8__constant__n1000,paper_f2_onset,beta_4_8,constant,1000,unknown_heteroskedastic,1.0,1.0,0.7847296949945437,0.7862684058123803,0,0,1.0,1.0,1.1131432456808705
paper_f2_onset__beta_4_8__linear__n1000,paper_f2_onset,beta_4_8,linear,1000,oracle_variances,1.701658018061236,0.975,0.7569573185731001,0.7610542889260773,2,0,0.95,1.0,1.0
paper_f2_onset__beta_4_8__linear__n1000,paper_f2_onset,beta_4_8,linear,1000,unknown_heteroskedastic,1.701658018061236,1.0,0.8185283758577181,0.8153318376683569,0,0,1.0,1.0,1.1541467199230748
paper_f2_onset__beta_4_8__plume_peak__n1000,paper_f2_onset,beta_4_8,plume_peak,1000,oracle_variances,4.3808591953222535,0.99,0.742525730807045,0.7610542889260773,1,0,0.97,1.0,1.0
paper_f2_onset__beta_4_8__plume_peak__n1000,paper_f2_onset,beta_4_8,plume_peak,1000,unknown_heteroskedastic,4.3808591953222535,1.0,0.9997778708989435,1.0,0,0,1.0,1.0,1.296255607720206
paper_f3_jump__beta_4_8__constant__n1000,paper_f3_jump,beta_4_8,constant,1000,oracle_variances,1.0,0.98,0.002068260651410209,0.002042193132494874,4,0,0.95,1.0,1.0
paper_f3_jump__beta_4_8__constant__n1000,paper_f3_jump,beta_4_8,constant,1000,unknown_heteroskedastic,1.0,1.0,0.0026566159634722887,0.0023825665667110973,0,0,0.995,0.995,1.1148154812992885
paper_f3_jump__beta_4_8__linear__n1000,paper_f3_jump,beta_4_8,linear,1000,oracle_variances,1.701658018061236,0.955,0.001965579905918158,0.002042193132494874,9,0,0.94,1.0,1.0
paper_f3_jump__beta_4_8__linear__n1000,paper_f3_jump,beta_4_8,linear,1000,unknown_heteroskedastic,1.701658018061236,1.0,0.007606684913975771,0.008510298451210652,0,0,1.0,1.0,1.1524835935411195
paper_f3_jump__beta_4_8__plume_peak__n1000,paper_f3_jump,beta_4_8,plume_peak,1000,oracle_variances,4.3808591953222535,0.985,0.0010383681007797576,0.0010210905642749624,3,0,0.95,1.0,1.0
paper_f3_jump__beta_4_8__plume_peak__n1000,paper_f3_jump,beta_4_8,plume_peak,1000,unknown_heteroskedastic,4.3808591953222535,1.0,0.02505225743457651,0.0214625717321702,0,0,1.0,1.0,1.2879790281992445
paper_f4_logistic__beta_4_8__constant__n1000,paper_f4_logistic,beta_4_8,constant,1000,oracle_variances,1.0,0.99,0.9888762793814704,1.0,0,0,0.975,1.0,1.0
paper_f4_logistic__beta_4_8__constant__n1000,paper_f4_logistic,beta_4_8,constant,1000,unknown_heteroskedastic,1.0,0.995,0.9983973305120334,1.0,0,0,0.995,1.0,1.109151912408749
paper_f4_logistic__beta_4_8__linear__n1000,paper_f4_logistic,beta_4_8,linear,1000,oracle_variances,1.701658018061236,0.975,0.9685268691786527,1.0,0,0,0.945,1.0,1.0
paper_f4_logistic__beta_4_8__linear__n1000,paper_f4_logistic,beta_4_8,linear,1000,unknown_heteroskedastic,1.701658018061236,1.0,1.0,1.0,0,0,1.0,1.0,1.1545956901446233
paper_f4_logistic__beta_4_8__plume_peak__n1000,paper_f4_logistic,beta_4_8,plume_peak,1000,oracle_variances,4.3808591953222535,0.975,0.9765033259988948,1.0,0,0,0.96,1.0,1.0
paper_f4_logistic__beta_4_8__plume_peak__n1000,paper_f4_logistic,beta_4_8,plume_peak,1000,unknown_heteroskedastic,4.3808591953222535,1.0,1.0,1.0,0,0,1.0,1.0,1.2902614270262394
