noise_sigma,regularization,latent_index,repetition,baseline_mse,guide_mse,target_knot_f1,knot_count
0.03,0.3,5,4,0.12039259331111059,0.7543945344222284,0.42857142857142855,9
0.03,0.3,6,0,0.060387738020897405,0.7229991939086965,0.5714285714285714,9
0.03,0.3,6,1,0.06673740856319936,0.7243601411505326,0.5714285714285714,9
0.03,0.3,6,2,0.06644220192214004,0.7208752574807102,0.5714285714285714,9
0.03,0.3,6,3,0.06707384167360242,0.725881755233835,0.5714285714285714,9
0.03,0.3,6,4,0.06538188843127021,0.7178701766851199,0.5714285714285714,9
0.03,0.3,7,0,0.036427655856282326,0.7488373137545817,0.7142857142857143,9
0.03,0.3,7,1,0.03724692809373957,0.7478357723711181,0.7142857142857143,9
0.03,0.3,7,2,0.038031524218361035,0.7490431798392332,0.7142857142857143,9
0.03,0.3,7,3,0.03495244096600204,0.7469221299213588,0.7142857142857143,9
0.03,0.3,7,4,0.04580427066248946,0.7550269241295136,0.5714285714285714,9
0.03,1.0,0,0,0.10852880548502172,0.6013405410786865,0.2857142857142857,9
0.03,1.0,0,1,0.12002378991204563,0.5968945132014197,0.2857142857142857,9
0.03,1.0,0,2,0.12082450007904448,0.6019214789600048,0.2857142857142857,9
0.03,1.0,0,3,0.11905088678492026,0.5971058856457656,0.2857142857142857,9
0.03,1.0,0,4,0.1026848527289844,0.6019014613728179,0.2857142857142857,9
0.03,1.0,1,0,0.032712961443327575,0.7314064750395584,0.8571428571428571,9
0.03,1.0,1,1,0.033930686432121535,0.7268298205047431,0.8571428571428571,9
0.03,1.0,1,2,0.039694738838611576,0.7292482491421217,0.7142857142857143,9
0.03,1.0,1,3,0.03939431502546416,0.730911902236702,0.7142857142857143,9
0.03,1.0,1,4,0.03990698107552035,0.7305133442238257,0.7142857142857143,9
0.03,1.0,2,0,0.05449461752740559,0.5748091245233399,0.5714285714285714,9
0.03,1.0,2,1,0.05222474314085107,0.5768538536152505,0.5714285714285714,9
0.03,1.0,2,2,0.04827932842479356,0.5717792464183209,0.7142857142857143,9
0.03,1.0,2,3,0.0530429633782552,0.5742637290818629,0.5714285714285714,9
0.03,1.0,2,4,0.05442488591596024,0.5807318800150105,0.5714285714285714,9
0.03,1.0,3,0,0.1533875557470887,0.8172746832736636,0.42857142857142855,9
0.03,1.0,3,1,0.1557446992222284,0.8238524530293683,0.42857142857142855,9
0.03,1.0,3,2,0.15518037172635618,0.8212138158252702,0.42857142857142855,9
0.03,1.0,3,3,0.16076677273680945,0.8245925409421342,0.2857142857142857,9
0.03,1.0,3,4,0.15838270788359105,0.822691761437288,0.42857142857142855,9
0.03,1.0,4,0,0.027239283055151307,0.6657361292556866,0.8571428571428571,9
0.03,1.0,4,1,0.030041897111440563,0.6585737409101688,0.8571428571428571,9
0.03,1.0,4,2,0.027232151934870236,0.6599079083070117,0.8571428571428571,9
0.03,1.0,4,3,0.021690173263539118,0.6660663807460657,1.0,9
0.03,1.0,4,4,0.030633725295801075,0.6659667346832714,0.8571428571428571,9
0.03,1.0,5,0,0.1189094441949504,0.669502814004353,0.5714285714285714,9
0.03,1.0,5,1,0.11843785201731494,0.6691548755165161,0.5714285714285714,9
0.03,1.0,5,2,0.11637631931802586,0.6641232792339196,0.5714285714285714,9
0.03,1.0,5,3,0.11615957530470133,0.6684009156093678,0.5714285714285714,9
0.03,1.0,5,4,0.11909219720946083,0.6726924008117537,0.5714285714285714,9
0.03,1.0,6,0,0.06575314700665279,0.6452069322138327,0.5714285714285714,9
0.03,1.0,6,1,0.070557164924731,0.6461939376464201,0.5714285714285714,9
0.03,1.0,6,2,0.07015217243635913,0.6432738201178113,0.5714285714285714,9
0.03,1.0,6,3,0.07066549333815088,0.6476224539339123,0.5714285714285714,9
0.03,1.0,6,4,0.06889922813723863,0.640350461265381,0.5714285714285714,9
0.03,1.0,7,0,0.04251552742486616,0.6663416477101594,0.7142857142857143,9
0.03,1.0,7,1,0.0402053410509417,0.6654610393917931,0.7142857142857143,9
0.03,1.0,7,2,0.04244799719191801,0.6667218575715493,0.7142857142857143,9
0.03,1.0,7,3,0.04140444516852226,0.6649380590249333,0.7142857142857143,9
0.03,1.0,7,4,0.04402049544932889,0.6721757779022692,0.7142857142857143,9
0.03,3.0,0,0,0.10133628770326056,0.4609517636359762,0.2857142857142857,9
0.03,3.0,0,1,0.09716117242419307,0.45691270028769637,0.2857142857142857,9
0.03,3.0,0,2,0.09823841208195935,0.46090873028095647,0.2857142857142857,9
