noise_sigma,regularization,latent_index,knot_jaccard,guide_l2_ratio,hcrd_baseline_l2_ratio
0.01,3.0,0,1.0,0.1604639586655772,0.17029515736453296
0.01,3.0,0,1.0,0.1738124420252219,0.1772060830872845
0.01,3.0,0,1.0,0.27075769099181446,0.3008990774968568
0.01,3.0,0,1.0,0.29793787004675304,0.3255017056527991
0.01,3.0,0,1.0,0.1897268763466378,0.19492375957862695
0.01,3.0,1,1.0,0.3274161600491093,0.28147778766280834
0.01,3.0,1,1.0,0.1865475829115489,2.191454710627085
0.01,3.0,1,1.0,0.2149308182106624,0.169910458675067
0.01,3.0,1,1.0,0.19375419858769916,2.0912912225412286
0.01,3.0,1,1.0,0.24834384256235378,2.1753238753386337
0.01,3.0,1,1.0,0.22672488923515757,0.2160716450166391
0.01,3.0,1,1.0,0.22058320731509423,2.227042903569716
0.01,3.0,1,1.0,0.16235954909985292,2.3694130028966374
0.01,3.0,1,1.0,0.1654125840072698,0.12086515788678051
0.01,3.0,1,1.0,0.19703651812926032,2.0375348190309084
0.01,3.0,2,1.0,0.20605208897236393,0.13476678433278994
0.01,3.0,2,1.0,0.15014926657302172,1.4902141665576296
0.01,3.0,2,1.0,0.223903028091179,0.1736043465620424
0.01,3.0,2,1.0,0.21819565785955244,0.18050392468667853
0.01,3.0,2,1.0,0.1803344510100011,1.3762745478296363
0.01,3.0,2,1.0,0.15486211052978116,0.16554854919230982
0.01,3.0,2,1.0,0.21161657784400678,0.1362972383612039
0.01,3.0,2,1.0,0.16364183637762675,1.243089999615753
0.01,3.0,2,1.0,0.23133307307812206,1.410371677236113
0.01,3.0,2,1.0,0.20886452944437198,0.17132398806583773
0.01,3.0,3,1.0,0.18547310009508314,0.17320307273362995
0.01,3.0,3,1.0,0.1671222782589018,0.1746879066642547
0.01,3.0,3,1.0,0.1461681868339867,0.10325627448478104
0.01,3.0,3,1.0,0.23345015332948482,0.21431738323588642
0.01,3.0,3,1.0,0.21374660854055344,0.19750020277309407
0.01,3.0,3,1.0,0.18984853782826,0.15718849517668532
0.01,3.0,3,1.0,0.27746946934496347,0.25863527454966484
0.01,3.0,3,1.0,0.18192821057129585,0.170998178190662
