dataset,assignment,train_size,test_size,length,class_count,method,accuracy,balanced_accuracy,macro_f1,transform_seconds,head_fit_seconds,head_predict_seconds,feature_count,representation_seconds
MixedShapesRegularTrain,discovery,500,2425,1024,5,hcrd_minirocket,0.9752577319587629,0.9744230412713719,0.9746817178927257,28.696210799971595,0.3138182000257075,0.06572509999386966,9996,140.94775560009293
MixedShapesRegularTrain,discovery,500,2425,1024,5,hcrd_energy,0.9039175257731958,0.8986032189432118,0.9038712262209115,0.0,0.03164539998397231,0.0024657000321894884,85,140.94775560009293
MixedShapesRegularTrain,discovery,500,2425,1024,5,hcrd_structure,0.9567010309278351,0.9567891445960953,0.9569846137094075,0.0,0.12607849994674325,0.007906700018793344,595,140.94775560009293
MixedShapesRegularTrain,discovery,500,2425,1024,5,hcrd_hybrid,0.9769072164948454,0.9764536029682818,0.9764831311400239,28.696210799971595,0.25611119996756315,0.14521560003049672,10591,140.94775560009293
MixedShapesSmallTrain,discovery,100,2425,1024,5,raw_minirocket,0.9505154639175257,0.949151781889688,0.9505836258451744,1.2294070000061765,0.036697400035336614,0.09463009994942695,9996,0.1308893000241369
MixedShapesSmallTrain,discovery,100,2425,1024,5,wavelet_minirocket,0.945979381443299,0.9435056120549499,0.9463274710160379,17.63706280000042,0.045063799945637584,0.07208780001383275,9996,1.333901199977845
MixedShapesSmallTrain,discovery,100,2425,1024,5,hcrd_minirocket,0.9443298969072165,0.9434030483683962,0.9445600711901255,18.105516099953093,0.034396099974401295,0.0836402999702841,9996,75.35724249994382
MixedShapesSmallTrain,discovery,100,2425,1024,5,hcrd_energy,0.8478350515463917,0.844054318745845,0.8484363902807456,0.0,0.011689599952660501,0.0018704000394791365,85,75.35724249994382
MixedShapesSmallTrain,discovery,100,2425,1024,5,hcrd_structure,0.9208247422680412,0.9201285605298004,0.9220602054363551,0.0,0.008042800007387996,0.006762700038962066,595,75.35724249994382
MixedShapesSmallTrain,discovery,100,2425,1024,5,hcrd_hybrid,0.9463917525773196,0.9455269232253084,0.9466125014986517,18.105516099953093,0.03288079996127635,0.1124231000430882,10591,75.35724249994382
MoteStrain,discovery,20,1252,84,2,raw_minirocket,0.9305111821086262,0.9281327427947879,0.929765556338632,0.9806731999851763,0.015083300066180527,0.04168299993034452,9996,0.04156759998295456
MoteStrain,discovery,20,1252,84,2,wavelet_minirocket,0.9001597444089456,0.896210283073368,0.8986860257279231,0.5941619999939576,0.017563899978995323,0.049509900039993227,9996,0.46587740001268685
MoteStrain,discovery,20,1252,84,2,hcrd_minirocket,0.8753993610223643,0.8699762500802362,0.8730024968789014,0.6092747000511736,0.0404947999631986,0.06844990001991391,9996,34.380721700028516
MoteStrain,discovery,20,1252,84,2,hcrd_energy,0.6126198083067093,0.6085332819821554,0.6087194942389194,0.0,0.007321399985812604,0.0015133999986574054,85,34.380721700028516
MoteStrain,discovery,20,1252,84,2,hcrd_structure,0.6661341853035144,0.6585403427691123,0.6585992114334325,0.0,0.005682499962858856,0.007661300012841821,595,34.380721700028516
MoteStrain,discovery,20,1252,84,2,hcrd_hybrid,0.8753993610223643,0.8699762500802362,0.8730024968789014,0.6092747000511736,0.032098400057293475,0.13943099998869002,10591,34.380721700028516
NonInvasiveFetalECGThorax1,discovery,1800,1965,750,42,raw_minirocket,0.9450381679389313,0.9431559376534013,0.940726825222743,1.5450554999988526,1.8870122999651358,0.05977880000136793,9996,0.28108970005996525
NonInvasiveFetalECGThorax1,discovery,1800,1965,750,42,wavelet_minirocket,0.9353689567430026,0.9336553362999359,0.9308421419345534,9.458339300006628,1.766239000018686,0.058260399964638054,9996,1.8040622000116855
NonInvasiveFetalECGThorax1,discovery,1800,1965,750,42,hcrd_minirocket,0.8900763358778626,0.889132503279053,0.8825719416428289,8.812860299949534,1.7628384999698028,0.07493490003980696,9996,106.36759439995512
NonInvasiveFetalECGThorax1,discovery,1800,1965,750,42,hcrd_energy,0.43307888040712467,0.4342216256376694,0.4003426732770597,0.0,0.08369139989372343,0.002174900029785931,85,106.36759439995512
NonInvasiveFetalECGThorax1,discovery,1800,1965,750,42,hcrd_structure,0.5328244274809161,0.5348559938297299,0.5144227462129916,0.0,0.4825656999601051,0.006003499962389469,595,106.36759439995512
NonInvasiveFetalECGThorax1,discovery,1800,1965,750,42,hcrd_hybrid,0.889058524173028,0.8882589174608759,0.8828133430234101,8.812860299949534,1.8610280000139028,0.10948850004933774,10591,106.36759439995512
NonInvasiveFetalECGThorax2,discovery,1800,1965,750,42,raw_minirocket,0.9653944020356234,0.9629569847560304,0.9622391104716402,1.6902481000870466,3.1976152999559417,0.07903440005611628,9996,0.13027810002677143
NonInvasiveFetalECGThorax2,discovery,1800,1965,750,42,wavelet_minirocket,0.961323155216285,0.9589745602511196,0.9576741115420773,14.079270899994299,3.2488827999914065,0.12310520000755787,9996,1.2587959999218583
NonInvasiveFetalECGThorax2,discovery,1800,1965,750,42,hcrd_minirocket,0.9048346055979644,0.9027693351183136,0.8985779072081186,15.0364702999359,3.8593858999665827,0.08024989999830723,9996,93.03270960005466
NonInvasiveFetalECGThorax2,discovery,1800,1965,750,42,hcrd_energy,0.49923664122137407,0.504628626615877,0.4753670990789572,0.0,0.08688810002058744,0.003338599926792085,85,93.03270960005466
NonInvasiveFetalECGThorax2,discovery,1800,1965,750,42,hcrd_structure,0.6335877862595419,0.6373817646348449,0.6158024589427843,0.0,0.9979669000022113,0.038105099927634,595,93.03270960005466
NonInvasiveFetalECGThorax2,discovery,1800,1965,750,42,hcrd_hybrid,0.9053435114503817,0.9033741884217025,0.8990763262470917,15.0364702999359,3.744591200025752,0.20934209995903075,10591,93.03270960005466
OliveOil,discovery,30,30,570,4,raw_minirocket,0.9,0.8541666666666666,0.8708333333333332,0.12765689997468144,0.016597699956037104,0.001778900041244924,9996,0.004100999911315739
OliveOil,discovery,30,30,570,4,wavelet_minirocket,0.9333333333333333,0.9166666666666666,0.9284161490683229,0.2808993998914957,0.016618900001049042,0.0019502999493852258,9996,0.03677970007993281
OliveOil,discovery,30,30,570,4,hcrd_minirocket,0.7666666666666667,0.6986111111111111,0.7073015873015873,0.28826539998408407,0.013944400008767843,0.0018349000019952655,9996,27.474267899990082
OliveOil,discovery,30,30,570,4,hcrd_energy,0.43333333333333335,0.3125,0.26785714285714285,0.0,0.003877800074405968,0.0003999999025836587,85,27.474267899990082
OliveOil,discovery,30,30,570,4,hcrd_structure,0.5,0.3472222222222222,0.3033088235294118,0.0,0.004117699922062457,0.0005879000527784228,595,27.474267899990082
OliveOil,discovery,30,30,570,4,hcrd_hybrid,0.7666666666666667,0.6986111111111111,0.7073015873015873,0.28826539998408407,0.014287800062447786,0.0033494000090286136,10591,27.474267899990082
Phoneme,discovery,214,1896,1024,39,raw_minirocket,0.29061181434599154,0.15248666218980647,0.15168485817341426,1.068431399995461,0.10017160000279546,0.056910700048319995,9996,0.10055289999581873
Phoneme,discovery,214,1896,1024,39,wavelet_minirocket,0.33438818565400846,0.17341319600808727,0.17281060435278656,15.693918599979952,0.08468259999062866,0.053917699959129095,9996,1.075828800094314
Phoneme,discovery,214,1896,1024,39,hcrd_minirocket,0.3106540084388186,0.1498645509399538,0.14032459372072736,15.725879100034945,0.08693039999343455,0.051029899972490966,9996,88.56101879989728
Phoneme,discovery,214,1896,1024,39,hcrd_energy,0.21835443037974683,0.07379617304155373,0.05075606121704745,0.0,0.02477980009280145,0.0019388999789953232,85,88.56101879989728
Phoneme,discovery,214,1896,1024,39,hcrd_structure,0.26635021097046413,0.10342140728806655,0.08474943275273986,0.0,0.01903000008314848,0.006297499989159405,595,88.56101879989728
Phoneme,discovery,214,1896,1024,39,hcrd_hybrid,0.32436708860759494,0.1541489408015963,0.14404776298948335,15.725879100034945,0.07130720000714064,0.09332580002956092,10591,88.56101879989728
PigArtPressure,discovery,104,208,2000,52,raw_minirocket,0.9807692307692307,0.9807692307692307,0.9798534798534798,0.46344199997838587,0.054029099992476404,0.009355699992738664,9996,0.01384699996560812
PigArtPressure,discovery,104,208,2000,52,wavelet_minirocket,0.9663461538461539,0.9663461538461539,0.9651404151404152,5.174955200054683,0.06406200001947582,0.010833000065758824,9996,0.1654734000330791
PigArtPressure,discovery,104,208,2000,52,hcrd_minirocket,0.9230769230769231,0.9230769230769231,0.9180611055611055,5.250192499952391,0.04262920003384352,0.008718900033272803,9996,34.23190289991908
PigArtPressure,discovery,104,208,2000,52,hcrd_energy,0.5432692307692307,0.5432692307692307,0.5018770759155374,0.0,0.014897999935783446,0.0009232000447809696,85,34.23190289991908
PigArtPressure,discovery,104,208,2000,52,hcrd_structure,0.5,0.5,0.458543166235474,0.0,0.012757700053043664,0.001968699973076582,595,34.23190289991908
PigArtPressure,discovery,104,208,2000,52,hcrd_hybrid,0.9326923076923077,0.9326923076923077,0.9276307026307027,5.250192499952391,0.03880009998101741,0.014618900022469461,10591,34.23190289991908
PigCVP,discovery,104,208,2000,52,raw_minirocket,0.9423076923076923,0.9423076923076923,0.9429390054390053,0.5992018999531865,0.05689979996532202,0.010036999941803515,9996,0.016897300025448203
PigCVP,discovery,104,208,2000,52,wavelet_minirocket,0.9278846153846154,0.9278846153846154,0.9284035409035407,6.784449900034815,0.058263299986720085,0.01175240008160472,9996,0.15288289997261018
PigCVP,discovery,104,208,2000,52,hcrd_minirocket,0.8653846153846154,0.8653846153846154,0.8597125097125097,7.753583700046875,0.07017189997714013,0.0179451999720186,9996,48.483232200029306
PigCVP,discovery,104,208,2000,52,hcrd_energy,0.21634615384615385,0.21634615384615385,0.15200338942896696,0.0,0.0180771000450477,0.0007121999515220523,85,48.483232200029306
PigCVP,discovery,104,208,2000,52,hcrd_structure,0.24519230769230768,0.24519230769230768,0.2205853378647496,0.0,0.012392800068482757,0.0022953998995944858,595,48.483232200029306
PigCVP,discovery,104,208,2000,52,hcrd_hybrid,0.8605769230769231,0.8605769230769231,0.8520965145965145,7.753583700046875,0.06168120005168021,0.022154899896122515,10591,48.483232200029306
PowerCons,discovery,180,180,144,2,raw_minirocket,0.9611111111111111,0.9611111111111111,0.961081081081081,0.11910270003136247,0.10385419998783618,0.00849699997343123,9996,0.028233300079591572
PowerCons,discovery,180,180,144,2,wavelet_minirocket,0.9777777777777777,0.9777777777777779,0.9777667984189724,0.3770801000064239,0.12367400003131479,0.009684299933724105,9996,0.24032909993547946
PowerCons,discovery,180,180,144,2,hcrd_minirocket,0.9444444444444444,0.9444444444444444,0.944437584887023,0.3558894000016153,0.09649730008095503,0.009500699932686985,9996,34.22067619999871
PowerCons,discovery,180,180,144,2,hcrd_energy,0.7333333333333333,0.7333333333333334,0.7325077399380805,0.0,0.04533380002249032,0.0006698999786749482,85,34.22067619999871
PowerCons,discovery,180,180,144,2,hcrd_structure,0.8944444444444445,0.8944444444444444,0.8944151153098083,0.0,0.01709320000372827,0.0009171999990940094,595,34.22067619999871
PowerCons,discovery,180,180,144,2,hcrd_hybrid,0.9444444444444444,0.9444444444444444,0.944437584887023,0.3558894000016153,0.08372049999888986,0.0147021000739187,10591,34.22067619999871
ProximalPhalanxOutlineAgeGroup,discovery,400,205,80,3,raw_minirocket,0.8390243902439024,0.7358021390374332,0.7301821275690622,0.12870480003766716,0.2973262999439612,0.01533019996713847,9996,0.030432999948970973
ProximalPhalanxOutlineAgeGroup,discovery,400,205,80,3,wavelet_minirocket,0.8536585365853658,0.7946256684491978,0.774785775428524,0.22267319995444268,0.24158350005745888,0.008518100017681718,9996,0.29545910004526377
ProximalPhalanxOutlineAgeGroup,discovery,400,205,80,3,hcrd_minirocket,0.8292682926829268,0.775686274509804,0.7465339399381762,0.21368000004440546,0.23538000008556992,0.007931399974040687,9996,28.528839799924754
ProximalPhalanxOutlineAgeGroup,discovery,400,205,80,3,hcrd_energy,0.848780487804878,0.7275579322638146,0.7361428485613023,0.0,0.03078749997075647,0.000557800056412816,85,28.528839799924754
ProximalPhalanxOutlineAgeGroup,discovery,400,205,80,3,hcrd_structure,0.8439024390243902,0.739590017825312,0.7396061708265395,0.0,0.1047976000700146,0.0012504999758675694,595,28.528839799924754
ProximalPhalanxOutlineAgeGroup,discovery,400,205,80,3,hcrd_hybrid,0.8195121951219512,0.7364705882352941,0.718812741028585,0.21368000004440546,0.20067519997246563,0.012310400023125112,10591,28.528839799924754
ProximalPhalanxTW,discovery,400,205,80,6,raw_minirocket,0.8146341463414634,0.5144545131485431,0.5147402517176424,0.0825753000099212,0.2515608000103384,0.013786100083962083,9996,0.02376380003988743
ProximalPhalanxTW,discovery,400,205,80,6,wavelet_minirocket,0.8146341463414634,0.4985963041933192,0.5013329523179755,0.19452859996818006,0.22369280003476888,0.006954199983738363,9996,0.27899639995303005
