record,method,beats,failure_rate,mean_joint_absolute_error_ms,mean_successful_onset_absolute_error_ms,mean_successful_offset_absolute_error_ms,mean_successful_duration_absolute_error_ms
sel100,hcrd_raw,30,0.0,21.333333333333332,32.266666666666666,10.4,40.0
sel100,derivative_threshold,30,0.0,14.933333333333334,23.866666666666667,6.0,19.466666666666665
sel100,official_pu0,30,0.0,4.8,3.6,6.0,8.0
sel100,official_pu1,30,0.0,8.933333333333334,7.733333333333333,10.133333333333333,7.2
sel44,hcrd_quadratic,30,0.0,21.333333333333332,22.8,19.866666666666667,31.2
sel44,hcrd_gaussian,30,0.0,23.733333333333334,25.2,22.266666666666666,22.4
sel44,hcrd_raw,30,0.033333333333333326,40.86666666666667,49.93103448275862,23.586206896551722,65.79310344827586
sel44,derivative_threshold,30,0.30000000000000004,74.6,44.57142857142857,31.428571428571427,40.95238095238095
sel44,official_pu0,30,0.0,21.733333333333334,7.333333333333333,36.13333333333333,38.666666666666664
sel44,official_pu1,30,0.0,23.0,12.0,34.0,44.13333333333333
sel301,hcrd_quadratic,30,0.0,10.2,12.133333333333333,8.266666666666667,8.133333333333333
sel301,hcrd_gaussian,30,0.0,17.133333333333333,24.533333333333335,9.733333333333333,18.533333333333335
sel301,hcrd_raw,30,0.0,19.133333333333333,12.4,25.866666666666667,36.13333333333333
sel301,derivative_threshold,30,0.0,13.666666666666666,10.0,17.333333333333332,23.6
sel301,official_pu0,30,0.0,5.533333333333333,5.866666666666666,5.2,9.733333333333333
sel301,official_pu1,30,0.0,8.533333333333333,5.6,11.466666666666667,13.066666666666666
sel40,hcrd_quadratic,30,0.0,11.666666666666666,6.933333333333334,16.4,11.333333333333334
sel40,hcrd_gaussian,30,0.0,15.333333333333334,9.066666666666666,21.6,18.4
sel40,hcrd_raw,30,0.6333333333333333,116.73333333333333,45.09090909090909,38.90909090909091,81.81818181818181
sel40,derivative_threshold,30,0.5,93.46666666666667,18.666666666666668,35.2,24.0
sel40,official_pu0,30,0.0,17.8,26.533333333333335,9.066666666666666,34.266666666666666
sel40,official_pu1,30,0.0,17.666666666666668,26.666666666666668,8.666666666666666,33.733333333333334
sele0210,hcrd_quadratic,30,0.0,9.0,5.466666666666667,12.533333333333333,10.8
sele0210,hcrd_gaussian,30,0.0,8.733333333333333,5.333333333333333,12.133333333333333,10.0
sele0210,hcrd_raw,30,0.0,11.933333333333334,16.4,7.466666666666667,20.4
sele0210,derivative_threshold,30,0.0,13.133333333333333,19.2,7.066666666666666,16.933333333333334
sele0210,official_pu0,30,0.0,11.6,9.733333333333333,13.466666666666667,14.133333333333333
sele0210,official_pu1,30,0.0,10.533333333333333,11.866666666666667,9.2,17.866666666666667
sele0129,hcrd_quadratic,30,0.0,31.8,21.466666666666665,42.13333333333333,44.4
sele0129,hcrd_gaussian,30,0.0,30.4,18.933333333333334,41.86666666666667,46.666666666666664
sele0129,hcrd_raw,30,0.0,18.6,25.333333333333332,11.866666666666667,30.533333333333335
sele0129,derivative_threshold,30,0.06666666666666665,35.266666666666666,19.0,33.714285714285715,44.142857142857146
sele0129,official_pu0,30,0.0,16.2,11.2,21.2,27.866666666666667
sele0129,official_pu1,30,0.0,12.266666666666667,18.0,6.533333333333333,22.933333333333334
sele0604,hcrd_quadratic,30,0.0,34.6,37.46666666666667,31.733333333333334,69.2
sele0604,hcrd_gaussian,30,0.0,36.53333333333333,49.333333333333336,23.733333333333334,63.46666666666667
sele0604,hcrd_raw,30,0.0,14.266666666666667,20.666666666666668,7.866666666666666,15.2
sele0604,derivative_threshold,30,0.0,19.466666666666665,21.6,17.333333333333332,20.266666666666666
sele0604,official_pu0,30,0.0,18.066666666666666,26.533333333333335,9.6,35.333333333333336
sele0604,official_pu1,30,0.0,12.4,16.4,8.4,16.8
sele0166,hcrd_quadratic,36,0.0,24.88888888888889,16.666666666666668,33.111111111111114,16.88888888888889
sele0166,hcrd_gaussian,36,0.0,24.666666666666668,14.777777777777779,34.55555555555556,19.77777777777778
sele0166,hcrd_raw,36,0.08333333333333337,32.0,14.666666666666666,26.060606060606062,36.121212121212125
sele0166,derivative_threshold,36,0.02777777777777779,32.72222222222222,20.0,38.17142857142857,47.65714285714286
sele0166,official_pu0,36,0.02777777777777779,33.94444444444444,31.085714285714285,29.6,9.028571428571428
sele0166,official_pu1,36,0.0,9.5,12.777777777777779,6.222222222222222,10.777777777777779
sel853,hcrd_quadratic,30,0.0,36.2,41.333333333333336,31.066666666666666,69.73333333333333
sel853,hcrd_gaussian,30,0.0,34.4,41.333333333333336,27.466666666666665,43.2
