record,method,beats,failure_rate,mean_joint_absolute_error_ms,mean_onset_absolute_error_ms,mean_offset_absolute_error_ms
sel38,learned_multilevel,30,0.0,28.066666666666666,9.2,46.93333333333333
sel38,official_pu0,30,0.0,17.066666666666666,21.866666666666667,12.266666666666667
sel38,official_pu1,30,0.0,15.933333333333334,15.2,16.666666666666668
sel38,pilot_constant,30,0.0,39.666666666666664,18.0,61.333333333333336
sel39,learned_level1,30,0.0,18.933333333333334,9.866666666666667,28.0
sel39,learned_multilevel,30,0.0,21.466666666666665,11.066666666666666,31.866666666666667
sel39,official_pu0,30,0.0,26.733333333333334,28.8,24.666666666666668
sel39,official_pu1,30,0.0,21.533333333333335,28.666666666666668,14.4
sel39,pilot_constant,30,0.0,25.6,10.666666666666666,40.53333333333333
sel40,learned_level1,30,0.0,16.333333333333332,26.4,6.266666666666667
sel40,learned_multilevel,30,0.0,16.733333333333334,26.133333333333333,7.333333333333333
sel40,official_pu0,30,0.0,17.8,26.533333333333335,9.066666666666666
sel40,official_pu1,30,0.0,17.666666666666668,26.666666666666668,8.666666666666666
sel40,pilot_constant,30,0.0,30.733333333333334,39.2,22.266666666666666
sel41,learned_level1,30,0.0,7.2,6.933333333333334,7.466666666666667
sel41,learned_multilevel,30,0.0,6.2,6.533333333333333,5.866666666666666
sel41,official_pu0,30,0.0,12.6,17.333333333333332,7.866666666666666
sel41,official_pu1,30,0.0,9.533333333333333,11.733333333333333,7.333333333333333
sel41,pilot_constant,30,0.0,8.533333333333333,8.933333333333334,8.133333333333333
sel42,learned_level1,30,0.0,48.86666666666667,74.8,22.933333333333334
sel42,learned_multilevel,30,0.0,45.86666666666667,72.26666666666667,19.466666666666665
sel42,official_pu0,30,0.0,13.8,20.533333333333335,7.066666666666666
sel42,official_pu1,30,0.0,15.066666666666666,18.0,12.133333333333333
sel42,pilot_constant,30,0.0,40.86666666666667,67.46666666666667,14.266666666666667
sel43,learned_level1,30,0.0,25.866666666666667,43.733333333333334,8.0
sel43,learned_multilevel,30,0.0,27.933333333333334,47.86666666666667,8.0
sel43,official_pu0,30,0.0,8.533333333333333,11.733333333333333,5.333333333333333
sel43,official_pu1,30,0.0,16.4,21.466666666666665,11.333333333333334
sel43,pilot_constant,30,0.0,30.8,56.93333333333333,4.666666666666667
sel44,learned_level1,30,0.0,27.133333333333333,26.8,27.466666666666665
sel44,learned_multilevel,30,0.0,28.533333333333335,26.933333333333334,30.133333333333333
sel44,official_pu0,30,0.0,21.733333333333334,7.333333333333333,36.13333333333333
sel44,official_pu1,30,0.0,23.0,12.0,34.0
sel44,pilot_constant,30,0.0,26.666666666666668,31.333333333333332,22.0
sel47,learned_level1,30,0.0,13.933333333333334,14.266666666666667,13.6
sel47,learned_multilevel,30,0.0,13.2,12.8,13.6
sel47,official_pu0,30,0.0,14.733333333333333,15.866666666666667,13.6
sel47,official_pu1,30,0.09999999999999998,31.866666666666667,24.296296296296298,10.962962962962964
sel47,pilot_constant,30,0.0,18.466666666666665,16.266666666666666,20.666666666666668
sel49,learned_level1,30,0.0,5.666666666666667,6.4,4.933333333333334
sel49,learned_multilevel,30,0.0,6.466666666666667,6.266666666666667,6.666666666666667
sel49,official_pu0,30,0.0,27.533333333333335,36.8,18.266666666666666
sel49,official_pu1,30,0.0,75.26666666666667,145.33333333333334,5.2
sel49,pilot_constant,30,0.0,4.333333333333333,4.266666666666667,4.4
sel50,learned_level1,32,0.0,15.875,12.875,18.875
sel50,learned_multilevel,32,0.0,15.125,11.0,19.25
sel50,official_pu0,32,0.03125,14.25,9.548387096774194,9.548387096774194
sel50,official_pu1,32,0.0,15.4375,14.375,16.5
sel50,pilot_constant,32,0.0,17.375,9.625,25.125
sel51,learned_level1,30,0.0,11.466666666666667,16.933333333333334,6.0
sel51,learned_multilevel,30,0.0,11.533333333333333,16.266666666666666,6.8
sel51,official_pu0,30,0.0,12.8,11.733333333333333,13.866666666666667
sel51,official_pu1,30,0.0,12.933333333333334,12.533333333333333,13.333333333333334
sel51,pilot_constant,30,0.0,7.466666666666667,9.733333333333333,5.2
sel52,learned_level1,30,0.0,12.333333333333334,11.733333333333333,12.933333333333334
sel52,learned_multilevel,30,0.0,11.8,11.333333333333334,12.266666666666667
sel52,official_pu0,30,0.0,22.066666666666666,22.133333333333333,22.0
sel52,official_pu1,30,0.0,22.6,31.466666666666665,13.733333333333333
sel52,pilot_constant,30,0.0,8.866666666666667,10.0,7.733333333333333
