record,beat_index,method,success,onset_error_ms,offset_error_ms,joint_absolute_error_ms
sel14157,8,learned_multilevel,1,8.0,-52.0,30.0
sel14157,8,official_pu0,1,8.0,-32.0,20.0
sel14157,8,official_pu1,1,32.0,-28.0,30.0
sel14157,9,pilot_constant,1,12.0,-32.0,22.0
sel14157,9,learned_level1,1,4.0,-20.0,12.0
sel14157,9,learned_multilevel,1,4.0,-16.0,10.0
sel14157,9,official_pu0,1,-8.0,-8.0,8.0
sel14157,9,official_pu1,1,28.0,-8.0,18.0
sel14157,10,pilot_constant,1,12.0,-24.0,18.0
sel14157,10,learned_level1,1,4.0,-16.0,10.0
sel14157,10,learned_multilevel,1,0.0,-16.0,8.0
sel14157,10,official_pu0,1,0.0,-4.0,2.0
sel14157,10,official_pu1,1,24.0,-4.0,14.0
sel14157,11,pilot_constant,1,0.0,-36.0,18.0
sel14157,11,learned_level1,1,-8.0,-40.0,24.0
sel14157,11,learned_multilevel,1,-8.0,-32.0,20.0
sel14157,11,official_pu0,1,-8.0,-16.0,12.0
sel14157,11,official_pu1,1,-4.0,-12.0,8.0
sel14157,12,pilot_constant,1,8.0,-32.0,20.0
sel14157,12,learned_level1,1,-4.0,-16.0,10.0
sel14157,12,learned_multilevel,1,-4.0,-16.0,10.0
sel14157,12,official_pu0,1,-8.0,-12.0,10.0
sel14157,12,official_pu1,1,0.0,-12.0,6.0
sel14157,13,pilot_constant,1,4.0,-24.0,14.0
sel14157,13,learned_level1,1,-4.0,-8.0,6.0
sel14157,13,learned_multilevel,1,4.0,-12.0,8.0
sel14157,13,official_pu0,1,-20.0,-8.0,14.0
sel14157,13,official_pu1,1,-8.0,-4.0,6.0
sel14157,14,pilot_constant,1,20.0,-24.0,22.0
sel14157,14,learned_level1,1,8.0,-12.0,10.0
sel14157,14,learned_multilevel,1,12.0,-16.0,14.0
sel14157,14,official_pu0,1,8.0,-4.0,6.0
sel14157,14,official_pu1,1,12.0,-4.0,8.0
sel14157,15,pilot_constant,1,24.0,-24.0,24.0
sel14157,15,learned_level1,1,16.0,-12.0,14.0
sel14157,15,learned_multilevel,1,16.0,-8.0,12.0
sel14157,15,official_pu0,1,12.0,0.0,6.0
sel14157,15,official_pu1,1,20.0,-4.0,12.0
sel14157,16,pilot_constant,1,4.0,-28.0,16.0
sel14157,16,learned_level1,1,-4.0,-16.0,10.0
sel14157,16,learned_multilevel,1,4.0,-12.0,8.0
sel14157,16,official_pu0,1,-28.0,-8.0,18.0
sel14157,16,official_pu1,1,16.0,-8.0,12.0
sel14157,17,pilot_constant,1,4.0,-28.0,16.0
sel14157,17,learned_level1,1,-4.0,-20.0,12.0
sel14157,17,learned_multilevel,1,-4.0,-20.0,12.0
sel14157,17,official_pu0,1,-8.0,-8.0,8.0
sel14157,17,official_pu1,1,16.0,-8.0,12.0
sel14157,18,pilot_constant,1,16.0,-28.0,22.0
sel14157,18,learned_level1,1,8.0,-20.0,14.0
sel14157,18,learned_multilevel,1,12.0,-20.0,16.0
sel14157,18,official_pu0,1,0.0,-4.0,2.0
sel14157,18,official_pu1,1,8.0,-4.0,6.0
sel14157,19,pilot_constant,1,36.0,-16.0,26.0
sel14157,19,learned_level1,1,28.0,-4.0,16.0
sel14157,19,learned_multilevel,1,28.0,4.0,16.0
sel14157,19,official_pu0,1,-8.0,4.0,6.0
sel14157,19,official_pu1,1,28.0,4.0,16.0
sel14157,20,pilot_constant,1,8.0,-8.0,8.0
