cell,signal,design,n,method,trials,coverage,coverage_wilson_low,coverage_wilson_high,mean_width,median_width,nontrivial_probability,empty_probability,joint_contrast_coverage,unexplained_empty_count,mean_scale_ratio,median_scale_ratio,scale_coverage
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,unknown_block_2,200,0.995,0.9722262956021069,0.9991168312843989,0.19361277445109779,0.2055888223552894,1.0,0.0,0.985,0,1.1156565856672538,1.1176925829144921,0.985
paper_f2_onset__beta_4_8__n1000,paper_f2_onset,beta_4_8,1000,known_sigma,200,0.96,0.923067931799067,0.9795943679338476,0.7535927297364313,0.7610542889260773,0.99,0.01,0.94,0,1.0,1.0,1.0
paper_f2_onset__beta_4_8__n1000,paper_f2_onset,beta_4_8,1000,unknown_block_2,200,0.995,0.9722262956021069,0.9991168312843989,0.7798629813872228,0.7862684058123803,0.995,0.005,0.99,0,1.0758636483750996,1.0733951316777457,0.99
paper_f2_onset__beta_4_8__n500,paper_f2_onset,beta_4_8,500,known_sigma,200,0.995,0.9722262956021069,0.9991168312843989,0.7977130749404031,0.8148959245379948,1.0,0.0,0.97,0,1.0,1.0,1.0
paper_f2_onset__beta_4_8__n500,paper_f2_onset,beta_4_8,500,unknown_block_2,200,1.0,0.9811546736227335,1.0,0.8234355197104835,0.8148959245379948,1.0,0.0,1.0,0,1.113750817409578,1.1157967962418551,0.995
paper_f2_onset__uniform__n1000,paper_f2_onset,uniform,1000,known_sigma,200,0.97,0.9361057075454807,0.9861796856598887,0.6592347046892502,0.6703296703296704,0.99,0.01,0.945,0,1.0,1.0,1.0
paper_f2_onset__uniform__n1000,paper_f2_onset,uniform,1000,unknown_block_2,200,0.995,0.9722262956021069,0.9991168312843989,0.6872977022977023,0.7022977022977023,1.0,0.0,0.985,0,1.0786198253384547,1.0753476788026641,0.995
paper_f2_onset__uniform__n500,paper_f2_onset,uniform,500,known_sigma,200,0.97,0.9361057075454807,0.9861796856598887,0.7064965546294345,0.7325349301397206,0.995,0.005,0.93,0,1.0,1.0,1.0
paper_f2_onset__uniform__n500,paper_f2_onset,uniform,500,unknown_block_2,200,1.0,0.9811546736227335,1.0,0.7596407185628742,0.7644710578842315,1.0,0.0,0.995,0,1.118456429597221,1.119241511393032,0.99
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,known_sigma,200,0.97,0.9361057075454807,0.9861796856598887,0.001942197774228386,0.002042193132494874,0.97,0.03,0.95,0,1.0,1.0,1.0
paper_f3_jump__beta_4_8__n1000,paper_f3_jump,beta_4_8,1000,unknown_block_2,200,1.0,0.9811546736227335,1.0,0.0023315332830723015,0.0023825665667110973,1.0,0.0,0.995,0,1.0793318945770207,1.0768836541808855,0.995
paper_f3_jump__beta_4_8__n500,paper_f3_jump,beta_4_8,500,known_sigma,200,0.965,0.9295293884777092,0.9829444579914328,0.004306133520030446,0.0034003578114527033,0.965,0.035,0.955,0,1.0,1.0,1.0
paper_f3_jump__beta_4_8__n500,paper_f3_jump,beta_4_8,500,unknown_block_2,200,1.0,0.9811546736227335,1.0,0.00885318592269166,0.008841972311301072,1.0,0.0,1.0,0,1.2210775851657028,1.2215017436513005,1.0
paper_f3_jump__uniform__n1000,paper_f3_jump,uniform,1000,known_sigma,200,0.975,0.942821659593358,0.9892752803482386,0.005661005661005657,0.005994005994005958,0.975,0.025,0.945,0,1.0,1.0,1.0
paper_f3_jump__uniform__n1000,paper_f3_jump,uniform,1000,unknown_block_2,200,1.0,0.9811546736227335,1.0,0.006848151848151839,0.006993006993006978,1.0,0.0,0.995,0,1.0816805443182138,1.0799008457367099,0.995
paper_f3_jump__uniform__n500,paper_f3_jump,uniform,500,known_sigma,200,0.99,0.9642782382838231,0.9972533418664555,0.01113351187073094,0.009980039920159722,0.995,0.005,0.985,0,1.0,1.0,1.0
paper_f3_jump__uniform__n500,paper_f3_jump,uniform,500,unknown_block_2,200,1.0,0.9811546736227335,1.0,0.014610778443113807,0.013972055888223589,1.0,0.0,1.0,0,1.1156862814367405,1.1145579156859011,0.995
paper_f4_logistic__beta_4_8__n1000,paper_f4_logistic,beta_4_8,1000,known_sigma,200,0.99,0.9642782382838231,0.9972533418664555,0.9707198288353749,1.0,0.055,0.0,0.945,0,1.0,1.0,1.0
paper_f4_logistic__beta_4_8__n1000,paper_f4_logistic,beta_4_8,1000,unknown_block_2,200,0.995,0.9722262956021069,0.9991168312843989,0.9981428149223248,1.0,0.005,0.0,0.995,0,1.0792675422895763,1.0747212870328338,0.975
paper_f4_logistic__beta_4_8__n500,paper_f4_logistic,beta_4_8,500,known_sigma,200,0.985,0.9568342712073097,0.9948857622067417,0.9879776001605127,1.0,0.025,0.0,0.975,0,1.0,1.0,1.0
paper_f4_logistic__beta_4_8__n500,paper_f4_logistic,beta_4_8,500,unknown_block_2,200,1.0,0.9811546736227335,1.0,1.0,1.0,0.0,0.0,1.0,0,1.1122198272095076,1.1128838701565247,0.99
paper_f4_logistic__uniform__n1000,paper_f4_logistic,uniform,1000,known_sigma,200,0.975,0.942821659593358,0.9892752803482386,0.9653896103896105,0.999000999000999,0.57,0.0,0.945,0,1.0,1.0,1.0
paper_f4_logistic__uniform__n1000,paper_f4_logistic,uniform,1000,unknown_block_2,200,0.995,0.9722262956021069,0.9991168312843989,0.9912137862137862,1.0,0.41,0.0,0.985,0,1.0771647763859855,1.0779603970909557,0.99
paper_f4_logistic__uniform__n500,paper_f4_logistic,uniform,500,known_sigma,200,0.985,0.9568342712073097,0.9948857622067417,0.9749800399201597,1.0,0.235,0.0,0.945,0,1.0,1.0,1.0
paper_f4_logistic__uniform__n500,paper_f4_logistic,uniform,500,unknown_block_2,200,1.0,0.9811546736227335,1.0,0.9986526946107784,1.0,0.075,0.0,0.995,0,1.1182884449003294,1.1149242770677223,0.995
