cell,signal,design,n,trial,method,target_left,target_right,confidence_left,confidence_right,confidence_width,covers_target,nontrivial,empty,joint_contrast_coverage,unexplained_empty,scale_upper,scale_ratio,scale_covers
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,28,unknown_block_2,0.3,0.3,0.1936127744510978,0.4151696606786427,0.22155688622754488,True,True,False,True,False,0.11270551082616329,1.1270551082616327,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,29,known_sigma,0.3,0.3,0.24151696606786427,0.3992015968063872,0.15768463073852296,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,29,unknown_block_2,0.3,0.3,0.20958083832335328,0.4151696606786427,0.2055888223552894,True,True,False,True,False,0.11304222105671304,1.1304222105671302,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,30,known_sigma,0.3,0.3,0.22554890219560877,0.3992015968063872,0.17365269461077845,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,30,unknown_block_2,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.11593228684455456,1.1593228684455454,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,31,known_sigma,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,31,unknown_block_2,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.11159686705554751,1.115968670555475,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,32,known_sigma,0.3,0.3,0.592814371257485,0.38323353293413176,nan,False,False,True,False,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,32,unknown_block_2,0.3,0.3,0.1936127744510978,0.3992015968063872,0.2055888223552894,True,True,False,True,False,0.11676262109294493,1.1676262109294493,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,33,known_sigma,0.3,0.3,0.20958083832335328,0.36726546906187624,0.15768463073852296,True,True,False,True,False,0.1,1.0,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,33,unknown_block_2,0.3,0.3,0.20958083832335328,0.3992015968063872,0.18962075848303395,True,True,False,True,False,0.11124154068952273,1.1124154068952272,True
paper_f1_cusp__uniform__n500,paper_f1_cusp,uniform,500,34,known_sigma,0.3,0.3,0.20958083832335328,0.38323353293413176,0.17365269461077848,True,True,False,True,False,0.1,1.0,True
